state,populacao,rmse,beta,gamma,R0
TOTAL,217026005,4702813.43010981,0.44714715627029084,0.24965872959968413,1.7910335320029465
SP,45919049,582617.2519292977,0.4259954061712645,0.24740109107356792,1.721881679351969
RJ,17264943,73028.51459126225,0.4410679407313081,0.24964114436483556,1.7668078787794441
BA,14873064,3466.8007449813167,0.4047196555121683,0.24999999861834282,1.6188786309956145
ES,4018650,212.3791747102448,0.37822344271615665,0.24195043960430251,1.5632269291790568
DF,3015268,17654.41906527457,0.4113154098628582,0.24999847790351568,1.6452716565002492
AL,3337357,2.60925995260679,0.22918679538388279,0.1446355580448187,1.5845812639853327
MG,21168791,11266.583158119283,0.42050637287029763,0.24963793174724572,1.6844650567608987
RS,11377239,17252.313178663244,0.4296135996599727,0.2499986593790652,1.7184636138730764
GO,7018354,17.336126075419376,0.35135595162396827,0.24999103244281853,1.405474221177655
PE,9557071,1000.587802296993,0.3233249074719948,0.14584203372897747,2.2169528167225026
PR,11433957,1502.186511522529,0.3747423605315459,0.24999989102088654,1.498970095551912
RN,3506853,2155.551839704407,0.4134762472885661,0.2499999880603543,1.6539050681424263
SC,7164788,6405.569701538627,0.4150465304064085,0.2459425682612001,1.687575003143066
AM,4144597,6918.357457863277,0.46525613450718806,0.24999988798241168,1.8610253718990482
MS,2778986,78.66876987046547,0.349520532588045,0.24999998674356066,1.3980822044865477
SE,2298696,24.501032461649608,0.3445102050928079,0.24999985220384177,1.3780416350482696
CE,9132078,33268.7887061164,0.41946479122901353,0.24959577147326475,1.6805765127873737
AC,881935,55.52125300593453,0.32701282584970226,0.24999999563874095,1.3080513262178117
PA,8602865,305.7491088800667,0.44190809922468893,0.24999887133958681,1.7676403771616296
PB,4018127,19.944934527160953,0.3965249305120843,0.24901707755416033,1.592360389121672
TO,1572866,5.957238101344446,0.3339379790392394,0.2499997329192355,1.335753343173054
PI,3273227,2.455081146011963,0.24968936530428906,0.18367135577373342,1.3594355214096852
AP,845731,124.22059334576646,0.35966449586857513,0.1455986131331563,2.470246715465938
MA,7075181,1436.6722051834288,0.4870999107953132,0.249993085058036,1.948453536953763
MT,3484466,177.67102980516503,0.4293640402289121,0.24830506062491003,1.7291795791367701
RO,1777225,2.932011754581797,0.35345943145619046,0.24449373109121306,1.4456789132328538
RR,605761,27.33311476589442,0.3756838860785543,0.24999944018775447,1.5027389093207904
