date,state,totalCases,newCases,deaths,newDeaths
2020-02-25,SP,1,1,0,0
2020-02-25,TOTAL,1,1,0,0
2020-02-26,SP,1,0,0,0
2020-02-26,TOTAL,1,0,0,0
2020-02-27,SP,1,0,0,0
2020-02-27,TOTAL,1,0,0,0
2020-02-28,SP,2,1,0,0
2020-02-28,TOTAL,2,1,0,0
2020-02-29,SP,2,0,0,0
2020-02-29,TOTAL,2,0,0,0
2020-03-01,SP,2,0,0,0
2020-03-01,TOTAL,2,0,0,0
2020-03-02,SP,2,0,0,0
2020-03-02,TOTAL,2,0,0,0
2020-03-03,SP,2,0,0,0
2020-03-03,TOTAL,2,0,0,0
2020-03-04,SP,3,1,0,0
2020-03-04,TOTAL,3,1,0,0
2020-03-05,ES,1,1,0,0
2020-03-05,RJ,1,1,0,0
2020-03-05,SP,6,3,0,0
2020-03-05,TOTAL,8,5,0,0
2020-03-06,BA,1,1,0,0
2020-03-06,ES,1,0,0,0
2020-03-06,RJ,2,1,0,0
2020-03-06,SP,10,4,0,0
2020-03-06,TOTAL,14,6,0,0
2020-03-07,BA,2,1,0,0
2020-03-07,DF,1,1,0,0
2020-03-07,ES,1,0,0,0
2020-03-07,RJ,2,0,0,0
2020-03-07,SP,13,3,0,0
2020-03-07,TOTAL,19,5,0,0
2020-03-08,AL,1,1,0,0
2020-03-08,BA,2,0,0,0
2020-03-08,DF,1,0,0,0
2020-03-08,ES,1,0,0,0
2020-03-08,MG,1,1,0,0
2020-03-08,RJ,3,1,0,0
2020-03-08,SP,16,3,0,0
2020-03-08,TOTAL,25,6,0,0
2020-03-09,AL,1,0,0,0
2020-03-09,BA,2,0,0,0
2020-03-09,DF,1,0,0,0
2020-03-09,ES,1,0,0,0
2020-03-09,MG,1,0,0,0
2020-03-09,RJ,3,0,0,0
2020-03-09,SP,16,0,0,0
2020-03-09,TOTAL,25,0,0,0
2020-03-10,AL,1,0,0,0
2020-03-10,BA,2,0,0,0
2020-03-10,DF,1,0,0,0
