"UF","id","Name","Ps","Pi","Pr","Pt","Lon","Lat"
"AC","1200013","Acrelândia","14109","11","0","14120","-66.883","-9.828"
"AC","1200054","Assis Brasil","6863","0","0","6863","-69.567","-10.941"
"AC","1200104","Brasiléia","24311","0","0","24311","-68.748","-11.01"
"AC","1200138","Bujari","9502","1","0","9503","-67.952","-9.831"
"AC","1200179","Capixaba","10820","0","0","10820","-67.676","-10.573"
"AC","1200203","Cruzeiro do Sul","82073","2","0","82075","-72.67","-7.631"
"AC","1200252","Epitaciolândia","17038","0","0","17038","-68.741","-11.029"
"AC","1200302","Feijó","32372","0","0","32372","-70.354","-8.164"
"AC","1200328","Jordão","7685","0","0","7685","-71.884","-9.434"
"AC","1200336","Mâncio Lima","17545","0","0","17545","-72.896","-7.614"
"AC","1200344","Manoel Urbano","8765","0","0","8765","-69.26","-8.839"
"AC","1200351","Marechal Thaumaturgo","17401","0","0","17401","-72.792","-8.941"
"AC","1200385","Plácido de Castro","18329","7","0","18336","-67.184","-10.335"
"AC","1200393","Porto Walter","11059","0","0","11059","-72.744","-8.269"
"AC","1200401","Rio Branco","376989","68","0","377057","-67.81","-9.975"
"AC","1200427","Rodrigues Alves","17464","0","0","17464","-72.647","-7.742"
"AC","1200435","Santa Rosa do Purus","6021","0","0","6021","-70.493","-9.433"
"AC","1200450","Senador Guiomard","21369","0","0","21369","-67.736","-10.151"
"AC","1200500","Sena Madureira","42451","0","0","42451","-68.657","-9.066"
"AC","1200609","Tarauacá","39427","0","0","39427","-70.766","-8.161"
"AC","1200708","Xapuri","17894","0","0","17894","-68.504","-10.652"
"AC","1200807","Porto Acre","17110","1","0","17111","-67.533","-9.588"
"AL","2700102","Água Branca","20422","0","0","20422","-37.938","-9.262"
"AL","2700201","Anadia","17832","0","0","17832","-36.304","-9.684"
"AL","2700300","Arapiraca","232671","0","0","232671","-36.661","-9.752"
"AL","2700409","Atalaia","47528","0","0","47528","-36.023","-9.502"
"AL","2700508","Barra de Santo Antônio","15909","0","0","15909","-35.507","-9.405"
"AL","2700607","Barra de São Miguel","8336","0","0","8336","-35.908","-9.84"
"AL","2700706","Batalha","18631","0","0","18631","-37.125","-9.678"
"AL","2700805","Belém","4517","0","0","4517","-36.492","-9.571"
"AL","2700904","Belo Monte","6786","0","0","6786","-37.28","-9.828"
"AL","2701001","Boca da Mata","27498","0","0","27498","-36.22","-9.641"
"AL","2701100","Branquinha","10709","0","0","10709","-36.015","-9.246"
"AL","2701209","Cacimbinhas","10859","0","0","10859","-36.99","-9.4"
"AL","2701308","Cajueiro","21443","0","0","21443","-36.154","-9.397"
"AL","2701357","Campestre","7002","0","0","7002","-35.568","-8.846"
"AL","2701407","Campo Alegre","57008","0","0","57008","-36.351","-9.782"
"AL","2701506","Campo Grande","9678","0","0","9678","-36.792","-9.958"
"AL","2701605","Canapi","17980","0","0","17980","-37.605","-9.127"
"AL","2701704","Capela","17428","0","0","17428","-36.074","-9.408"
"AL","2701803","Carneiros","9065","0","0","9065","-37.377","-9.483"
"AL","2701902","Chã Preta","7424","0","0","7424","-36.296","-9.255"
"AL","2702009","Coité do Nóia","10939","0","0","10939","-36.579","-9.632"
"AL","2702108","Colônia Leopoldina","21786","0","0","21786","-35.725","-8.909"
