# S,I,R,Nw
9132068,9,0,0
9132062,13,1,5
9132056,17,4,11
9132047,22,7,20
9132035,29,12,32
9132020,39,17,47
9132000,51,25,67
9131974,68,35,93
9131939,89,48,128
9131894,117,65,173
9131835,154,88,232
9131756,203,117,311
9131653,267,156,414
9131518,351,208,549
9131340,462,275,727
9131106,607,364,961
9130798,798,480,1269
9130394,1049,633,1673
9129863,1379,834,2204
9129165,1812,1099,2902
9128248,2382,1446,3819
9127044,3130,1903,5023
9125461,4113,2503,6606
9123381,5404,3291,8686
9120650,7099,4327,11417
9117064,9326,5687,15003
9112355,12247,7474,19712
9106177,16080,9820,25890
9098072,21104,12900,33995
9087448,27687,16942,44619
9073534,36301,22242,58533
9055330,47558,29189,76737
9031548,62244,38285,100519
9000536,81358,50182,131531
8960198,106159,65720,171869
8907892,138214,85971,224175
8840346,179431,112300,291721
8753581,232079,146416,378486
8642881,298757,190439,489186
8502854,382284,246938,629213
8327641,485475,318960,804426
8111338,610747,409992,1020729
7848681,759543,523852,1283386
7536010,931597,664469,1596057
7172391,1124156,835530,1959676
6760680,1331387,1040009,2371387
6308164,1544268,1279644,2823903
5826410,1751227,1554439,3305657
5330171,1939555,1862350,3801896
4835497,2097325,2199255,4296570
4357558,2215279,2559240,4774509
3908801,2288109,2935166,5223266
3497876,2314827,3319374,5634191
3129439,2298271,3704366,6002628
2804664,2244044,4083368,6327403
2522100,2159292,4450684,6609967
2278612,2051605,4801859,6853455
2070181,1928214,5133682,7061886
1892501,1795495,5444081,7239566
1741372,1658746,5731959,7390695
1612922,1522148,5997007,7519145
1503709,1388842,6239526,7628358
1410747,1261067,6460263,7721320
1331487,1140317,6660273,7800580
1263774,1027493,6840810,7868293
1205802,923038,7003236,7926265
1156058,827058,7148961,7976009
1113279,739412,7279386,8018788
1076410,659789,7395877,8055657
1044570,587768,7499738,8087497
1017019,522862,7592195,8115048
993136,464548,7674392,8138931
972399,412296,7747382,8159668
954366,365579,7812131,8177701
938662,323893,7869521,8193405
924970,286758,7920349,8207097
913018,253723,7965335,8219049
902575,224374,8005128,8229492
893441,198326,8040310,8238626
885446,175229,8071401,8246621
878443,154767,8098866,8253624
872305,136651,8123120,8259762
866922,120622,8144532,8265145
862199,106447,8163431,8269868
858052,93918,8180106,8274015
854410,82848,8194818,8277657
851211,73071,8207794,8280856
848400,64438,8219239,8283667
845928,56818,8229330,8286139
843755,50094,8238228,8288312
841843,44161,8246072,8290224
840162,38927,8252987,8291905
838683,34311,8259082,8293384
837381,30240,8264455,8294686
836236,26651,8269189,8295831
835228,23487,8273362,8296839
834340,20697,8277039,8297727
833559,18238,8280280,8298508
832871,16070,8283135,8299196
832266,14160,8285651,8299801
831732,12476,8287868,8300335
831263,10993,8289821,8300804
830849,9685,8291542,8301218
830485,8533,8293058,8301582
830165,7518,8294394,8301902
829882,6623,8295571,8302185
829634,5835,8296608,8302433
829414,5141,8297521,8302653
829221,4529,8298326,8302846
829052,3990,8299035,8303015
828902,3515,8299660,8303165
828770,3096,8300210,8303297
828654,2728,8300695,8303413
828552,2403,8301122,8303515
828461,2117,8301498,8303606
828382,1865,8301830,8303685
828312,1643,8302122,8303755
828251,1447,8302379,8303816
828196,1275,8302605,8303871
828148,1123,8302805,8303919
828106,989,8302981,8303961
828069,871,8303136,8303998
828037,768,8303272,8304030
828008,676,8303393,8304059
827982,596,8303499,8304085
827960,525,8303592,8304107
827940,462,8303674,8304127
827923,407,8303746,8304144
827908,358,8303810,8304159
827894,316,8303866,8304173
827883,278,8303916,8304184
827872,245,8303959,8304195
827863,216,8303998,8304204
827855,190,8304032,8304212
827848,167,8304062,8304219
827841,147,8304088,8304226
827836,130,8304111,8304231
827831,114,8304131,8304236
827827,101,8304149,8304240
827823,89,8304165,8304244
827820,78,8304179,8304247
827817,69,8304191,8304250
827814,60,8304202,8304253
827812,53,8304212,8304255
827810,47,8304220,8304257
827808,41,8304227,8304259
827806,36,8304234,8304261
827805,32,8304240,8304262
827804,28,8304245,8304263
827803,25,8304249,8304264
827802,22,8304253,8304265
827801,19,8304257,8304266
827800,17,8304260,8304267
827800,15,8304262,8304267
827799,13,8304265,8304268
827799,11,8304267,8304268
827798,10,8304269,8304269
827798,9,8304270,8304269
827797,7,8304272,8304270
827797,7,8304273,8304270
827797,6,8304274,8304270
827797,5,8304275,8304270
827796,4,8304276,8304271
827796,4,8304277,8304271
827796,3,8304277,8304271
827796,3,8304278,8304271
827796,2,8304278,8304271
827796,2,8304279,8304271
827796,2,8304279,8304271
827796,1,8304279,8304271
827795,1,8304280,8304272
827795,1,8304280,8304272
827795,1,8304280,8304272
827795,1,8304281,8304272
827795,1,8304281,8304272
827795,0,8304281,8304272
827795,0,8304281,8304272
827795,0,8304281,8304272
827795,0,8304281,8304272
827795,0,8304281,8304272
827795,0,8304281,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
827795,0,8304282,8304272
