# S,I,R,Nw
11433952,4,0,0
11433950,5,0,1
11433948,6,1,3
11433946,7,2,5
11433943,8,4,8
11433940,10,5,12
11433936,12,7,15
11433931,14,10,20
11433926,17,12,26
11433919,21,16,32
11433911,25,19,40
11433902,30,24,50
11433891,35,30,61
11433877,42,36,74
11433862,50,44,90
11433843,60,53,109
11433820,71,64,131
11433794,85,77,158
11433762,101,93,190
11433724,120,111,228
11433679,143,133,273
11433625,171,159,326
11433562,203,191,390
11433486,242,228,466
11433396,288,272,556
11433288,343,324,663
11433161,408,387,791
11433009,486,461,943
11432828,578,550,1124
11432613,688,655,1339
11432357,818,780,1595
11432052,974,930,1900
11431689,1159,1107,2262
11431258,1379,1318,2693
11430745,1641,1569,3206
11430135,1953,1868,3817
11429409,2323,2224,4543
11428545,2764,2647,5407
11427517,3288,3150,6434
11426295,3912,3748,7657
11424841,4654,4461,9111
11423112,5536,5308,10840
11421055,6585,6315,12897
11418609,7832,7514,15342
11415701,9315,8939,18251
11412243,11078,10635,21709
11408133,13172,12651,25819
11403248,15660,15047,30704
11397443,18616,17897,36509
11390547,22125,21284,43404
11382358,26289,25308,51593
11372637,31229,30090,61315
11361102,37085,35769,72850
11347421,44023,42512,86531
11331206,52235,50514,102746
11312001,61947,60007,121951
11289275,73420,71261,144677
11262409,86952,84595,171543
11230687,102889,100379,203264
11193287,121622,119047,240665
11149263,143592,141100,284688
11097547,169290,167118,336404
11036935,199254,197767,397017
10966087,234063,233805,467864
10883537,274327,276091,550414
10787704,320666,325585,646247
10676922,373682,383351,757029
10549484,433924,450548,884468
10403704,501833,528419,1030248
10238001,577687,618267,1195950
10051006,661524,721425,1382945
9841678,753073,839205,1592274
9609440,851673,972842,1824511
9354311,956218,1123427,2079641
9077018,1065114,1291824,2356934
8779077,1176286,1478592,2654874
8462822,1287226,1683907,2971130
8131361,1395096,1907498,3302590
7788470,1496883,2148602,3645481
7438410,1589591,2405954,3995542
7085700,1670449,2677807,4348252
6734869,1737105,2961981,4699082
6390211,1787791,3255954,5043741
6055571,1821422,3556963,5378380
5734198,1837632,3862125,5699753
