# S,I,R,Nw
11377237,1,0,0
11377236,1,0,0
11377235,2,0,1
11377234,3,1,2
11377233,4,1,4
11377230,5,2,6
11377228,7,3,9
11377224,9,4,12
11377220,11,6,17
11377214,15,9,23
11377206,20,12,30
11377196,26,15,40
11377183,34,20,53
11377167,44,27,70
11377145,57,35,92
11377117,74,47,120
11377081,96,61,156
11377033,125,79,203
11376972,162,103,264
11376893,210,134,343
11376790,273,174,446
11376657,354,226,579
11376485,459,294,752
11376261,595,381,975
11375971,772,495,1265
11375595,1001,642,1641
11375108,1297,832,2128
11374477,1682,1079,2760
11373658,2180,1399,3578
11372598,2825,1814,4639
11371224,3662,2352,6013
11369443,4746,3049,7794
11367135,6151,3952,10101
11364146,7970,5122,13091
11360274,10325,6638,16963
11355260,13375,8603,21977
11348769,17322,11147,28468
11340369,22428,14441,36868
11329505,29027,18706,47732
11315462,37551,24224,61774
11297328,48550,31360,79909
11273934,62721,40583,103303
11243799,80947,52492,133438
11205050,104335,67852,172186
11155344,134260,87633,221893
11091772,172403,113062,285464
11010781,220787,145670,366456
10908098,281782,187358,469139
10778716,358075,240447,598520
10616954,452557,307726,760282
10416651,568115,392471,960585
10171557,707270,498411,1205679
9875955,871651,629632,1501282
9525538,1061329,790371,1851699
9118464,1274078,984695,2258773
8656410,1504761,1216066,2720826
8145346,1745069,1486823,3231890
7595695,1983867,1797675,3781541
7021661,2208264,2147312,4355575
6439729,2405270,2532239,4937507
5866665,2563656,2946917,5510572
5317515,2675525,3384198,6059722
4804107,2737170,3835960,6573130
4334325,2749093,4293820,7042912
3912150,2715306,4749781,7465086
3538250,2642250,5196738,7838987
3210832,2537628,5628777,8166405
2926518,2409415,6041304,8450719
2681088,2265125,6431024,8696149
2470037,2111378,6795823,8907200
2288947,1953690,7134600,9088290
2133708,1796450,7447080,9243529
2000623,1642986,7733629,9376614
1886447,1495704,7995087,9490790
1788373,1356233,8232632,9588864
1704001,1225581,8447656,9673236
1631291,1104268,8641678,9745946
1568518,992447,8816273,9808719
1514223,889999,8973015,9863013
1467178,796616,9113443,9910058
1426344,711860,9239033,9950893
1390841,635215,9351181,9986395
1359927,566119,9451191,10017309
1332970,503993,9540275,10044267
1309432,448261,9619544,10067805
1288855,398364,9690019,10088382
1270846,353765,9752627,10106391
1255069,313961,9808208,10122167
1241236,278481,9857521,10136001
1229096,246891,9901251,10148140
1218435,218791,9940012,10158801
1209067,193816,9974355,10168170
1200829,171636,10004772,10176408
1193582,151950,10031705,10183654
1187204,134488,10055546,10190033
1181587,119005,10076645,10195649
1176640,105285,10095313,10200596
1172281,93130,10111827,10204956
1168439,82365,10126433,10208798
1165052,72835,10139351,10212185
1162065,64400,10150773,10215172
1159430,56936,10160871,10217807
1157106,50332,10169799,10220131
1155055,44491,10177691,10222181
1153246,39325,10184667,10223991
1151649,34756,10190833,10225588
1150239,30716,10196282,10226997
1148995,27145,10201098,10228242
1147896,23988,10205354,10229340
1146926,21197,10209114,10230310
1146070,18730,10212437,10231166
1145314,16550,10215374,10231922
1144646,14623,10217968,10232590
1144057,12920,10220261,10233180
1143536,11415,10222286,10233700
1143076,10086,10224076,10234160
1142670,8911,10225657,10234566
1142311,7872,10227054,10234925
1141995,6955,10228288,10235242
1141715,6145,10229378,10235522
1141468,5428,10230341,10235769
1141249,4796,10231192,10235987
1141057,4237,10231944,10236180
1140886,3743,10232608,10236350
1140736,3307,10233195,10236501
1140603,2921,10233714,10236634
1140486,2580,10234172,10236751
1140382,2280,10234576,10236855
1140290,2014,10234933,10236946
1140209,1779,10235249,10237027
1140138,1572,10235528,10237099
1140075,1388,10235775,10237162
1140019,1226,10235992,10237218
1139970,1083,10236185,10237267
1139926,957,10236354,10237310
1139888,845,10236505,10237349
1139854,747,10236637,10237383
1139824,660,10236754,10237413
1139797,583,10236858,10237439
1139774,515,10236949,10237463
1139753,455,10237030,10237483
1139735,402,10237101,10237502
1139719,355,10237164,10237518
1139704,313,10237220,10237532
1139692,277,10237269,10237545
1139681,244,10237312,10237556
1139671,216,10237351,10237566
1139662,191,10237385,10237574
1139654,168,10237415,10237582
1139648,149,10237441,10237589
1139642,131,10237465,10237595
1139636,116,10237485,10237600
1139632,102,10237503,10237605
1139628,90,10237520,10237609
1139624,80,10237534,10237613
1139621,70,10237546,10237616
1139618,62,10237557,10237619
1139615,55,10237567,10237621
1139613,48,10237576,10237623
1139611,43,10237584,10237625
1139609,38,10237590,10237627
1139608,33,10237596,10237629
1139607,29,10237602,10237630
1139605,26,10237606,10237631
1139604,23,10237610,10237632
