# S,I,R,Nw
12038174,0,0,0
12038173,0,0,0
12038173,1,0,0
12038172,1,0,1
12038172,1,0,1
12038171,2,1,2
12038170,2,1,3
12038169,3,2,4
12038168,4,2,6
12038166,5,3,7
12038164,6,4,9
12038161,7,5,12
12038158,9,7,15
12038154,11,8,19
12038149,14,10,24
12038144,17,13,30
12038136,21,16,37
12038128,26,20,46
12038117,31,25,56
12038104,39,31,69
12038088,48,38,86
12038068,58,47,105
12038044,72,58,129
12038014,88,72,159
12037978,108,88,195
12037934,132,108,240
12037879,162,132,294
12037813,198,162,361
12037731,243,199,442
12037631,298,244,542
12037509,365,299,664
12037359,447,367,814
12037176,548,450,997
12036952,671,551,1222
12036677,822,675,1496
12036340,1006,827,1833
12035928,1233,1013,2245
12035423,1509,1241,2750
12034805,1848,1520,3368
