ibgeID,city,state,population,I_reported,series_length,best_cost,beta,gamma,initial_I,S,I,R,Nw
3550308,São Paulo,SP,12038175,899,31,138.73956185825122,0.3693047464486414,0.16666666666666666,6.625419762796882e-08,12037359.92921524,447.5780127237883,367.49277203548996,814.2732051337482
5300108,Brasília,DF,2977216,201,20,28.643435339711967,0.39338589740739865,0.16666666666666666,5.246500314379043e-07,2976962.5370525173,146.73492328247445,106.72802420017868,251.90095101465573
3304557,Rio de Janeiro,RJ,6498837,368,21,20.809755485239425,0.4360510686876048,0.16666666666666666,1.3561798996827992e-07,6498413.231272124,262.12815519679395,161.64057267785367,422.8873686635761
2304400,Fortaleza,CE,2609716,224,11,24.85528551740771,0.4314262532309219,0.16666666666666666,3.8318345751031915e-06,2609421.772323123,184.41968269076241,109.80799418648422,284.2276768772465
4314902,Porto Alegre,RS,1481019,103,16,5.777173219016591,0.4090474259662056,0.16666666666666666,8.529151581673346e-07,1480916.0913274747,61.49167988513923,41.41699264034969,101.64548897085514
3106200,Belo Horizonte,MG,2513451,96,11,6.117987562732672,0.3803371051746585,0.16666666666666666,2.638165848513538e-06,2513332.0381161487,69.73633822460428,49.225545626644326,112.3309832611364
4309001,Giruá,RS,17132,0,0,,,,,,,,
4210704,Matos Costa,SC,2652,0,0,,,,,,,,
4112405,Japurá,PR,9238,0,0,,,,,,,,
3506201,Bento de Abreu,SP,2902,0,0,,,,,,,,
3555356,Ubarana,SP,5996,0,0,,,,,,,,
2801702,Cristinápolis,SE,18092,0,0,,,,,,,,
4128807,Xambrê,PR,5986,0,0,,,,,,,,
2703403,Jacaré dos Homens,AL,5391,0,0,,,,,,,,
3522604,Itapira,SP,73410,0,0,,,,,,,,
5210158,Ipiranga de Goiás,GO,2944,0,0,,,,,,,,
2605103,Custódia,PE,36474,0,0,,,,,,,,
3113008,Caraí,MG,23679,0,0,,,,,,,,
2916401,Itapetinga,BA,76881,0,0,,,,,,,,
2506806,Ingá,PB,18105,0,0,,,,,,,,
3129400,Ibertioga,MG,5153,0,0,,,,,,,,
4309050,Glorinha,RS,7588,0,0,,,,,,,,
3539004,Pirangi,SP,11272,0,0,,,,,,,,
2408508,Ouro Branco,RN,4877,0,0,,,,,,,,
2310209,Paracuru,CE,33665,0,0,,,,,,,,
2932804,Utinga,BA,19688,0,0,,,,,,,,
3145802,Onça de Pitangui,MG,3186,0,0,,,,,,,,
3555406,Ubatuba,SP,87364,0,0,,,,,,,,
1507409,São Francisco do Pará,PA,15418,0,0,,,,,,,,
3162203,São João Batista do Glória,MG,7387,0,0,,,,,,,,
3522653,Itapirapuã Paulista,SP,4161,0,0,,,,,,,,
5210208,Iporá,GO,32218,0,0,,,,,,,,
2605152,Dormentes,PE,18510,0,0,,,,,,,,
4309100,Gramado,RS,34832,0,0,,,,,,,,
2310258,Paraipaba,CE,32256,0,0,,,,,,,,
4210803,Meleiro,SC,7056,0,0,,,,,,,,
4112504,Jardim Alegre,PR,12104,0,0,,,,,,,,
3145851,Oratórios,MG,4698,0,0,,,,,,,,
3506300,Bernardino de Campos,SP,11169,0,0,,,,,,,,
1507458,São Geraldo do Araguaia,PA,24394,0,0,,,,,,,,
4309126,Gramado dos Loureiros,RS,2258,0,0,,,,,,,,
1507466,São João da Ponta,PA,5884,0,0,,,,,,,,
2900108,Abaíra,BA,9212,0,0,,,,,,,,
3162252,São João da Lagoa,MG,4922,0,0,,,,,,,,
2703502,Jacuípe,AL,7148,0,0,,,,,,,,
3522703,Itápolis,SP,42547,0,0,,,,,,,,
1507474,São João de Pirabas,PA,22207,0,0,,,,,,,,
3113107,Caranaíba,MG,3309,0,0,,,,,,,,
2916500,Itapicuru,BA,36320,0,0,,,,,,,,
3145877,Orizânia,MG,7891,0,0,,,,,,,,
2605202,Escada,PE,67839,0,0,,,,,,,,
2506905,Itabaiana,PB,24519,0,0,,,,,,,,
3539103,Pirapora do Bom Jesus,SP,17913,0,0,,,,,,,,
2408607,Paraná,RN,4249,0,0,,,,,,,,
2310308,Parambu,CE,31213,0,0,,,,,,,,
3129509,Ibiá,MG,24946,0,0,,,,,,,,
4210852,Mirim Doce,SC,2399,0,0,,,,,,,,
2932903,Valença,BA,98053,0,0,,,,,,,,
4309159,Gramado Xavier,RS,4232,0,0,,,,,,,,
1704105,Centenário,TO,2835,0,0,,,,,,,,
3145901,Ouro Branco,MG,38601,0,0,,,,,,,,
3555505,Ubirajara,SP,4711,0,0,,,,,,,,
1720499,São Valério,TO,4161,0,0,,,,,,,,
1507508,São João do Araguaia,PA,13569,0,0,,,,,,,,
3506359,Bertioga,SP,57942,0,0,,,,,,,,
3162302,São João da Mata,MG,2810,0,0,,,,,,,,
5210307,Israelândia,GO,2916,0,0,,,,,,,,
4210902,Modelo,SC,4181,0,0,,,,,,,,
4309209,Gravataí,RS,273742,1,2,,,,,,,,
4112603,Jardim Olinda,PR,1403,0,0,,,,,,,,
3506409,Bilac,SP,7761,0,0,,,,,,,,
2801900,Cumbe,SE,3999,0,0,,,,,,,,
2900207,Abaré,BA,19939,0,0,,,,,,,,
2703601,Japaratinga,AL,8403,0,0,,,,,,,,
3522802,Itaporanga,SP,15140,0,0,,,,,,,,
2605301,Exu,PE,31858,0,0,,,,,,,,
3113206,Carandaí,MG,25214,0,0,,,,,,,,
2507002,Itaporanga,PB,24674,0,0,,,,,,,,
2916609,Itapitanga,BA,10799,0,0,,,,,,,,
3539202,Pirapozinho,SP,26810,0,0,,,,,,,,
2408706,Paraú,RN,3875,0,0,,,,,,,,
2310407,Paramoti,CE,11564,0,0,,,,,,,,
2933000,Valente,BA,28426,0,0,,,,,,,,
3129608,Ibiaí,MG,8357,0,0,,,,,,,,
4309258,Guabiju,RS,1606,0,0,,,,,,,,
3555604,Uchoa,SP,10008,0,0,,,,,,,,
1507607,São Miguel do Guamá,PA,56667,0,0,,,,,,,,
3146008,Ouro Fino,MG,33557,0,0,,,,,,,,
3162401,São João da Ponte,MG,25880,0,0,,,,,,,,
5210406,Itaberaí,GO,40259,0,0,,,,,,,,
3129657,Ibiracatu,MG,6185,0,0,,,,,,,,
4309308,Guaíba,RS,99186,0,0,,,,,,,,
4112702,Jataizinho,PR,12560,0,0,,,,,,,,
4211009,Mondaí,SC,11343,0,0,,,,,,,,
2933059,Várzea da Roça,BA,14632,0,0,,,,,,,,
3506508,Birigui,SP,119536,0,0,,,,,,,,
1720655,Silvanópolis,TO,5372,0,0,,,,,,,,
2900306,Acajutiba,BA,15764,0,0,,,,,,,,
3162450,São João das Missões,MG,12760,0,0,,,,,,,,
2703700,Jaramataia,AL,5685,0,0,,,,,,,,
3522901,Itapuí,SP,13475,0,0,,,,,,,,
2802007,Divina Pastora,SE,4975,0,0,,,,,,,,
2605400,Feira Nova,PE,21836,0,0,,,,,,,,
3113305,Carangola,MG,33513,0,0,,,,,,,,
2507101,Itapororoca,PB,18527,0,0,,,,,,,,
2916708,Itaquara,BA,8557,0,0,,,,,,,,
3539301,Pirassununga,SP,75035,0,0,,,,,,,,
2408805,Parazinho,RN,5215,0,0,,,,,,,,
2310506,Pedra Branca,CE,42795,0,0,,,,,,,,
3129707,Ibiraci,MG,13444,0,0,,,,,,,,
4112751,Jesuítas,PR,8912,0,0,,,,,,,,
4211058,Monte Carlo,SC,9740,0,0,,,,,,,,
2933109,Várzea do Poço,BA,9404,0,0,,,,,,,,
3555703,União Paulista,SP,1773,0,0,,,,,,,,
