# S,I,R,Nw
2094388,2,0,0
2094387,3,0,1
2094385,4,1,2
2094384,4,1,3
2094382,5,2,5
2094380,6,3,7
2094377,8,5,10
2094374,9,6,13
2094371,11,8,17
2094366,13,10,21
2094361,16,12,26
2094355,19,15,32
2094348,23,19,40
2094339,27,23,48
2094328,33,28,59
2094316,39,34,71
2094301,47,42,86
2094283,56,50,104
2094262,67,61,125
2094237,80,73,150
2094207,95,87,180
2094171,113,105,216
2094129,135,126,258
2094078,161,150,309
2094018,192,180,369
2093946,229,215,441
2093860,273,257,527
2093758,325,306,629
2093636,388,366,751
2093491,462,436,896
2093318,551,521,1069
2093113,656,621,1275
