# S,I,R,Nw
4144594,2,0,0
4144593,3,0,1
4144591,4,1,2
4144590,4,1,3
4144588,5,2,5
4144586,7,3,8
4144583,8,5,10
4144580,10,6,13
4144576,12,8,17
4144571,14,10,22
4144566,17,13,27
4144559,20,16,34
4144551,24,20,42
4144542,29,24,51
4144530,35,30,63
4144517,42,36,76
4144501,51,44,93
4144481,61,54,112
4144458,73,65,135
4144430,87,78,163
4144396,105,94,197
4144356,126,114,237
4144308,151,137,285
4144251,180,164,342
4144182,216,197,411
4144100,259,237,494
4144001,310,284,592
4143883,372,341,711
4143741,445,409,852
4143572,533,491,1022
4143369,639,588,1225
4143126,765,705,1468
