# S,I,R,Nw
2938086,5,0,0
2938084,6,0,1
2938083,6,2,3
2938080,7,3,5
2938078,8,4,8
2938075,10,6,11
2938072,11,8,14
2938068,13,10,17
2938064,14,12,21
2938060,16,15,26
2938054,19,18,31
2938048,21,21,37
2938041,24,25,44
2938034,28,29,52
2938025,31,34,61
2938015,36,40,71
2938003,41,46,82
2937990,46,54,95
2937976,53,62,110
2937959,60,71,127
2937940,68,82,145
2937919,77,94,167
2937894,88,108,191
2937866,100,124,219
2937835,114,142,251
2937799,129,162,287
2937758,147,185,327
2937712,167,211,373
2937660,190,241,426
2937600,215,275,486
2937532,245,313,553
2937455,278,357,630
