# S,I,R,Nw
14873061,2,0,0
14873061,2,0,0
14873060,2,0,1
14873059,3,1,2
14873058,3,1,3
14873056,4,2,4
14873055,5,3,6
14873053,6,4,8
14873051,6,5,10
14873049,8,6,12
14873046,9,8,15
14873043,10,9,18
14873039,12,11,22
14873035,14,14,26
14873030,16,16,31
14873024,19,19,36
14873018,22,23,43
14873010,25,27,50
14873002,29,31,59
14872992,34,37,69
14872980,39,43,81
14872967,46,50,94
14872951,53,59,110
14872934,61,68,127
14872913,71,79,148
14872889,82,92,172
14872861,94,107,199
14872830,109,124,231
14872793,126,143,268
14872750,146,166,310
14872701,169,192,359
14872645,195,223,416
14872579,225,258,482
14872504,260,298,557
14872416,301,345,644
14872315,348,399,745
14872199,402,462,862
14872064,464,534,997
14871909,536,617,1152
14871729,620,714,1332
14871521,716,825,1539
14871282,827,953,1779
14871005,956,1102,2056
14870685,1104,1273,2376
14870315,1276,1472,2746
14869888,1474,1701,3173
14869395,1703,1965,3666
14868825,1967,2270,4236
14868167,2272,2623,4894
14867407,2625,3031,5654
14866529,3032,3501,6532
14865515,3502,4045,7545
14864344,4045,4673,8717
14862992,4672,5398,10069
14861430,5397,6236,11631
14859626,6233,7204,13435
14857544,7198,8321,15517
14855139,8313,9611,17922
14852362,9599,11101,20699
14849156,11084,12822,23905
14845456,12798,14809,27605
14841184,14775,17103,31877
14836254,17057,19751,36806
14830566,19688,22808,42495
14824003,22723,26337,49058
14816433,26221,30409,56628
14807703,30253,35107,65358
14797638,34898,40527,75423
14786037,40247,46779,87024
14772671,46403,53988,100390
14757279,53486,62298,115782
14739559,61628,71875,133501
14719173,70981,82908,153887
14695734,81716,95613,177327
14668803,94025,110235,204258
14637885,108124,127054,235176
14602424,124250,146389,270637
14561797,142667,168598,311264
14515308,163667,194088,357753
14462187,187561,223315,410874
14401585,214689,256788,471476
14332576,245409,295077,540484
14254159,280092,338811,618902
14165260,319120,388683,707801
14064749,362866,445447,808312
13951452,411690,509921,921609
13824175,465910,582977,1048886
13681736,525788,665539,1191325
13523001,591498,758564,1350060
13346936,663095,863032,1526125
13152657,740487,979918,1720404
12939496,823399,1110168,1933565
12707060,911339,1254664,2166001
12455297,1003578,1414187,2417763
12184556,1099132,1589375,2688505
11895623,1196760,1780680,2977438
11589757,1294978,1988328,3283304
11268686,1392098,2212279,3604375
10934583,1486281,2452198,3938477
10590016,1575610,2707437,4283045
10237858,1658178,2977026,4635203
9881195,1732181,3259687,4991866
9523202,1796007,3553854,5349859
9167022,1848324,3857716,5706039
8815657,1888138,4169267,6057404
8471861,1914835,4486366,6401200
8138064,1928195,4806804,6734997
7816316,1928381,5128365,7056745
7508262,1915907,5448894,7364799
7215136,1891584,5766342,7657925
