# S,I,R,Nw
217025997,7,0,0
217025994,9,1,2
217025990,11,3,6
217025986,12,5,10
217025982,15,7,14
217025976,18,10,20
217025969,21,13,27
217025962,25,17,34
217025953,29,22,43
217025942,34,27,54
217025929,41,34,67
217025915,48,41,81
217025897,56,50,99
217025876,67,61,120
217025852,79,73,144
217025824,93,87,172
217025790,109,105,206
217025749,129,125,247
217025703,152,148,293
217025649,179,176,347
217025584,210,209,412
217025509,247,247,487
217025419,292,293,577
217025314,343,346,682
217025191,404,409,805
217025046,475,482,950
217024876,559,569,1120
217024675,658,671,1321
217024439,774,790,1557
217024163,910,931,1833
217023837,1070,1097,2159
217023454,1259,1291,2542
217023004,1480,1520,2992
217022478,1739,1787,3518
217021859,2043,2101,4137
217021130,2402,2471,4866
217020274,2823,2906,5722
217019267,3319,3418,6729
217018084,3901,4018,7912
217016693,4585,4725,9303
217015060,5389,5555,10936
217013140,6334,6530,12856
217010883,7444,7676,15113
217008232,8749,9023,17764
217005114,10283,10607,20882
217001452,12084,12467,24544
216997148,14202,14654,28848
216992089,16691,17224,33907
216986144,19615,20244,39852
