# S,I,R,Nw
2609706,9,0,0
2609702,12,1,3
2609697,14,4,8
2609691,17,6,14
2609684,21,10,21
2609675,26,14,30
2609665,31,18,40
2609652,38,24,53
2609637,46,31,68
2609618,56,40,87
2609596,68,50,109
2609568,83,63,137
2609535,101,78,170
2609495,122,97,210
2609446,148,120,259
2609387,180,147,318
2609316,219,180,389
2609229,265,221,476
2609123,322,269,582
2608996,390,329,709
2608841,473,400,864
2608653,574,488,1052
2608426,696,593,1279
2608150,844,721,1555
2607815,1023,876,1890
2607410,1240,1064,2295
2606918,1504,1292,2787
2606323,1823,1569,3382
2605601,2209,1904,4104
