# S,I,R,Nw
3015259,8,0,0
3015256,9,1,2
3015253,11,3,5
3015250,12,5,8
3015246,13,7,12
3015242,15,9,16
3015238,17,12,20
3015233,18,15,25
3015227,21,18,31
3015221,23,22,37
3015214,26,26,44
3015207,29,31,51
3015198,32,36,60
3015189,36,42,70
3015178,40,48,80
3015166,45,56,92
3015153,50,64,105
3015138,56,72,120
3015121,63,82,137
3015103,70,94,155
3015082,78,106,176
3015060,87,120,199
3015034,97,135,224
3015006,108,152,253
3014974,121,172,284
3014938,135,193,320
3014899,151,217,359
3014855,168,244,403
3014806,188,273,452
3014751,209,306,507
3014690,233,343,568
3014622,260,385,636
3014546,290,430,712
3014461,324,482,797
3014367,361,539,892
3014261,403,602,997
3014144,449,673,1114
3014013,501,753,1245
