# S,I,R,Nw
7018348,5,0,0
7018347,5,0,1
7018345,6,1,2
7018344,6,2,4
7018342,7,4,6
7018340,7,5,8
7018338,8,6,10
7018336,9,8,12
7018334,10,9,14
7018331,11,11,17
7018328,11,13,20
7018325,13,15,23
7018321,14,17,26
7018318,15,20,30
7018314,16,23,34
7018309,18,25,39
7018305,19,29,43
7018299,21,32,49
7018294,23,36,54
7018288,25,40,60
7018281,27,44,67
7018274,30,49,74
7018266,32,54,82
7018257,35,60,91
7018248,38,66,100
7018238,42,73,110
7018227,45,81,121
7018214,49,89,133
7018201,54,97,146
7018187,59,107,161
7018172,64,117,176
7018155,69,128,193
7018137,76,140,211
7018117,82,154,231
7018095,89,168,253
7018072,97,184,276
7018046,106,201,302
7018018,115,219,330
7017988,125,239,360
7017955,136,261,393
7017919,148,285,429
7017880,161,311,467
7017838,175,339,510
7017792,191,370,556
7017742,208,403,606
7017688,226,439,660
7017628,246,478,719
7017564,267,521,784
7017494,291,568,854
7017418,316,618,930
7017335,344,673,1012
7017245,374,733,1102
7017148,407,798,1200
7017041,442,869,1307
7016926,481,946,1422
7016800,523,1030,1548
7016663,569,1121,1685
7016514,618,1220,1834
7016353,673,1327,1995
7016177,731,1444,2171
7015986,795,1572,2362
7015778,865,1710,2570
7015552,940,1860,2796
7015306,1023,2024,3042
7015039,1112,2202,3309
7014748,1209,2395,3600
7014432,1315,2606,3916
7014088,1430,2834,4259
7013715,1555,3083,4633
7013309,1690,3353,5039
7012867,1838,3647,5481
7012387,1998,3967,5961
7011865,2173,4314,6483
7011298,2362,4692,7050
7010681,2568,5103,7667
7010011,2792,5549,8337
7009282,3036,6035,9066
7008490,3300,6563,9858
7007628,3588,7136,10719
7006692,3900,7760,11655
7005675,4239,8438,12673
7004569,4608,9175,13779
7003368,5009,9976,14980
7002062,5444,10847,16286
7000643,5917,11793,17705
6999101,6430,12821,19247
6997426,6987,13939,20922
6995606,7593,15153,22742
6993629,8250,16473,24718
6991482,8964,17907,26866
6989150,9738,19464,29198
6986617,10578,21157,31730
6983867,11490,22995,34480
6980882,12480,24991,37466
6977641,13552,27159,40707
