# S,I,R,Nw
2513441,9,0,0
2513437,11,1,3
2513434,13,3,6
2513430,14,6,10
2513425,16,8,15
2513419,19,11,21
2513413,21,15,27
2513406,25,19,34
2513398,28,23,42
2513389,32,28,51
2513379,37,34,61
2513367,42,41,73
2513354,48,48,86
2513338,55,57,102
2513321,62,67,119
2513301,71,78,139
2513278,81,90,162
2513252,92,105,188
2513223,105,122,217
2513189,120,140,251
2513150,137,162,290
2513107,156,186,333
2513057,178,214,383
2513000,204,246,440
2512935,232,283,505
2512861,265,324,579
2512776,302,371,664
2512680,344,425,760
2512571,392,486,869
