# S,I,R,Nw
21168785,5,0,0
21168783,6,0,1
21168782,6,2,3
21168779,7,3,5
21168777,9,4,8
21168774,10,6,11
21168771,11,8,14
21168767,13,10,18
21168763,15,12,22
21168758,17,15,27
21168752,19,18,33
21168746,22,22,39
21168738,26,26,46
21168730,29,30,55
21168721,33,36,64
21168710,38,42,75
21168697,44,49,87
21168683,50,56,102
21168667,57,65,118
21168649,65,76,136
21168627,75,88,157
21168604,85,101,181
21168576,97,116,208
21168545,111,133,240
21168510,127,153,275
21168469,145,176,316
21168422,165,202,362
21168370,188,231,415
21168309,215,265,476
21168240,246,304,544
21168162,280,348,623
21168072,320,398,713
21167969,365,455,815
21167853,417,520,932
21167719,476,594,1065
21167567,543,679,1218
21167393,620,776,1391
21167195,707,887,1589
21166969,807,1013,1815
21166711,921,1157,2073
21166417,1051,1321,2368
21166081,1200,1509,2704
21165698,1369,1723,3087
21165261,1562,1967,3524
21164762,1783,2245,4023
21164192,2034,2563,4592
21163543,2321,2925,5242
21162802,2648,3339,5983
21161957,3022,3811,6828
21160992,3448,4349,7792
21159892,3934,4964,8893
21158637,4488,5665,10148
21157204,5121,6464,11580
21155571,5842,7377,13214
21153707,6665,8418,15078
21151581,7604,9605,17204
21149155,8674,10960,19629
21146389,9895,12505,22396
21143234,11287,14268,25550
21139636,12875,16279,29149
21135533,14685,18572,33252
21130853,16748,21188,37931
21125518,19100,24171,43267
21119436,21781,27573,49349
21112502,24835,31452,56283
21104599,28315,35875,64185
21095594,32278,40918,73191
21085333,36791,46665,83452
21073644,41929,53216,95141
21060332,47776,60681,108452
21045176,54427,69187,123609
21027925,61989,78875,140859
21008297,70585,89907,160487
20985973,80348,102468,182811
20960595,91431,116764,208190
20931758,104003,133028,237026
20899012,118253,151525,269773
20861851,134388,172551,306934
20819711,152640,196439,349074
20771966,173261,223562,396819
20717923,196527,254339,450862
20656818,222736,289235,511967
20587813,252210,328766,580971
20509997,285288,373505,658788
20422379,322328,424082,746406
20323901,363700,481189,844884
20213434,409779,545577,955351
20089792,460934,618064,1078993
19951746,517520,699524,1217039
19798041,579859,790890,1370744
19627421,648223,893145,1541364
19438664,722814,1007311,1730120
19230617,803737,1134435,1938167
19002242,890973,1275574,2166542
18752667,984355,1431768,2416118
18481240,1083535,1604015,2687545
18187588,1187963,1793238,2981197
17871670,1296868,2000252,3297115
17533826,1409242,2225721,3634958
17174823,1523843,2470123,3993962
16795872,1639206,2733712,4372913
16398643,1753671,3016476,4770142
15985245,1865426,3318118,5183540
15558192,1972568,3638029,5610592
15120341,2073170,3975278,6048443
14674811,2165360,4328618,6493973
14224889,2247400,4696501,6943896
13773924,2317763,5077103,7394861
13325220,2375200,5468370,7843565
12881939,2418784,5868066,8286845
12447011,2447949,6273830,8721774
12023059,2462494,6683236,9145726
11612353,2462579,7093857,9556432
11216777,2448693,7503319,9952008
10837818,2421616,7909355,10330966
10476578,2382364,8309848,10692207
10133787,2332136,8702867,11034998
9809844,2272255,9086691,11358941
9504852,2204112,9459826,11663933
9218660,2129115,9821014,11950124
8950910,2048652,10169228,12217875
8701075,1964046,10503668,12467710
8468500,1876540,10823749,12700285
8252436,1787270,11129084,12916349
8052070,1697255,11419465,13116715
7866551,1607394,11694844,13302234
7695011,1518463,11955315,13473774
7536583,1431119,12201087,13632202
7390410,1345906,12432473,13778375
7255662,1263262,12649866,13913123
7131536,1183531,12853723,14037249
7017267,1106970,13044552,14151517
6912129,1033761,13222899,14256655
6815436,964021,13389332,14353349
6726543,897811,13544436,14442242
6644847,835143,13688800,14523938
6569786,775991,13823012,14598999
6500837,720297,13947656,14667948
6437513,667978,14063299,14731272
6379365,618928,14170497,14789420
6325976,573029,14269784,14842808
6276963,530152,14361675,14891821
6231971,490157,14446661,14936814
6190672,452905,14525213,14978113
6152766,418250,14597774,15016019
6117975,386048,14664766,15050810
6086045,356159,14726586,15082740
6056742,328442,14783606,15112043
6029849,302761,14836179,15138936
6005169,278988,14884633,15163616
5982520,256995,14929274,15186265
5961736,236663,14970390,15207049
5942662,217879,15008248,15226123
5925158,200534,15043097,15243626
5909096,184526,15075167,15259689
5894355,169759,15104675,15274429
5880828,156143,15131818,15287956
5868415,143593,15156782,15300370
5857023,132029,15179737,15311761
5846570,121378,15200842,15322215
5836976,111570,15220243,15331808
5828172,102541,15238076,15340612
5820093,94232,15254464,15348691
5812679,86587,15269523,15356106
5805875,79554,15283360,15362910
5799631,73085,15296073,15369154
5793901,67137,15307751,15374884
5788642,61668,15318479,15380142
5783816,56641,15328332,15384968
5779388,52020,15337382,15389397
5775323,47773,15345693,15393461
5771593,43871,15353326,15397191
5768170,40285,15360334,15400614
5765029,36990,15366770,15403756
5762146,33964,15372680,15406639
5759500,31184,15378105,15409285
5757072,28630,15383087,15411713
5754844,26285,15387661,15413941
5752799,24131,15391860,15415986
5750922,22153,15395714,15417863
5749200,20337,15399253,15419585
5747619,18669,15402502,15421166
5746168,17137,15405484,15422616
5744837,15731,15408221,15423948
5743615,14440,15410734,15425170
5742494,13255,15413041,15426291
5741465,12167,15415158,15427320
5740520,11168,15417101,15428264
5739654,10251,15418885,15429131
5738858,9409,15420523,15429926
5738128,8636,15422025,15430656
5737458,7926,15423405,15431326
5736844,7275,15424671,15431941
5736279,6677,15425833,15432505
5735761,6128,15426900,15433023
5735286,5625,15427879,15433499
5734850,5162,15428777,15433935
5734450,4738,15429602,15434335
5734082,4349,15430359,15434702
5733745,3991,15431053,15435039
5733436,3663,15431691,15435349
5733152,3362,15432276,15435633
5732891,3085,15432813,15435893
5732652,2832,15433306,15436133
5732433,2599,15433758,15436352
5732231,2385,15434173,15436554
5732046,2189,15434554,15436738
5731877,2009,15434904,15436908
5731721,1844,15435225,15437064
5731578,1692,15435519,15437207
5731447,1553,15435790,15437338
5731326,1425,15436038,15437458
5731216,1308,15436266,15437569
5731115,1200,15436475,15437670
5731022,1102,15436666,15437763
5730936,1011,15436842,15437848
5730858,928,15437004,15437927
5730786,851,15437152,15437999
5730720,781,15437288,15438065
5730659,717,15437413,15438125
5730604,658,15437528,15438181
5730553,604,15437633,15438232
5730506,554,15437729,15438279
5730463,509,15437818,15438322
5730424,467,15437899,15438361
5730387,428,15437974,15438397
5730354,393,15438042,15438431
5730324,361,15438105,15438461
5730296,331,15438163,15438489
5730270,304,15438216,15438515
5730246,279,15438264,15438538
5730225,256,15438309,15438560
