# S,I,R,Nw
8602863,1,0,0
8602863,1,0,0
8602862,1,0,1
8602862,2,0,1
8602861,2,1,2
8602860,3,1,3
8602858,3,2,5
8602857,4,3,6
8602855,5,3,8
8602852,7,5,11
8602849,8,6,13
8602846,10,8,17
8602841,13,10,22
8602836,16,12,27
8602829,19,15,34
8602821,24,19,42
8602811,29,23,51
8602799,36,29,63
8602785,44,35,78
8602767,53,43,96
8602745,65,53,118
8602718,80,66,145
8602685,98,80,178
8602645,120,99,217
8602597,146,121,266
8602537,179,148,326
8602464,218,181,398
8602375,267,221,487
8602267,326,271,596
8602134,398,331,729
8601972,487,404,891
8601775,595,494,1088
8601533,726,604,1330
8601238,887,738,1625
8600877,1084,902,1985
8600437,1324,1102,2426
8599900,1617,1347,2963
8599243,1975,1645,3619
8598442,2412,2010,4421
8597463,2946,2455,5400
8596268,3597,2998,6595
8594809,4393,3662,8054
8593028,5363,4472,9835
8590854,6548,5462,12009
8588200,7994,6670,14663
8584962,9757,8144,17901
8581012,11908,9944,21851
8576194,14530,12140,26669
8570319,17726,14819,32544
8563159,21618,18087,39704
8554436,26356,22072,48427
8543815,32119,26930,59047
8530894,39122,32847,71969
8515186,47624,40054,87677
8496111,57930,48822,106752
8472975,70404,59484,129888
8444958,85470,72435,157904
8411093,103625,88146,191770
8370248,125436,107179,232614
8321119,151547,130197,281743
8262215,182674,157974,340647
8191863,219590,191410,410999
8108223,263103,231537,494640
8009324,314017,279522,593539
7893130,373072,336662,709733
7757634,440864,404366,845229
7600996,517745,484123,1001867
7421713,603698,577452,1181150
7218820,698212,685832,1384043
6992098,800162,810604,1610765
6742270,907727,952866,1860593
6471137,1018374,1113353,2131726
6181620,1128924,1292320,2421243
5877685,1235725,1489453,2725177
5564136,1334922,1703806,3038727
5246289,1422778,1933796,3356574
4929593,1496018,2177252,3673270
4619230,1552119,2431515,3983633
4319774,1589506,2693584,4283089
4034955,1607630,2960279,4567908
3767528,1606923,3228413,4835335
3519268,1588652,3494943,5083594
3291053,1554718,3757093,5311810
3082995,1507428,4012440,5519868
2894614,1449283,4258966,5708249
2724997,1382796,4495071,5877866
2572946,1310350,4719567,6029917
2437108,1234110,4931645,6165754
2316064,1155967,5130833,6286798
2208402,1077511,5316950,6394461
2112763,1000043,5490058,6490100
2027870,924583,5650410,6574993
1952548,851908,5798408,6650315
1885725,782573,5934565,6717138
1826437,716954,6059473,6776426
1773820,655274,6173769,6829043
1727105,597636,6278122,6875758
1685612,544045,6373206,6917251
1648737,494434,6459692,6954125
1615950,448681,6538232,6986913
1586780,406626,6609458,7016083
1560814,368080,6673970,7042049
1537689,332840,6732335,7065174
1517082,300693,6785088,7085781
1498711,271427,6832726,7104152
1482324,244827,6875712,7120538
1467703,220689,6914472,7135160
1454650,198813,6949401,7148213
1442994,179011,6980859,7159869
1432581,161106,7009177,7170282
1423275,144931,7034657,7179588
1414957,130331,7057575,7187905
1407520,117163,7078180,7195343
1400869,105293,7096701,7201994
1394919,94601,7113344,7207944
1389596,84974,7128294,7213267
1384832,76310,7141722,7218031
1380568,68516,7153779,7222295
1376751,61508,7164605,7226112
1373334,55208,7174322,7229529
1370274,49547,7183043,7232589
1367534,44460,7190869,7235329
1365080,39892,7197892,7237783
1362882,35789,7204193,7239981
1360913,32105,7209845,7241950
1359149,28799,7214915,7243713
1357569,25831,7219464,7245293
1356154,23167,7223543,7246709
1354886,20777,7227201,7247977
1353749,18632,7230482,7249114
1352731,16708,7233424,7250132
1351818,14982,7236063,7251044
1351001,13434,7238429,7251862
1350268,12046,7240550,7252595
1349611,10800,7242452,7253252
1349023,9683,7244157,7253840
1348495,8682,7245686,7254368
1348023,7784,7247057,7254840
1347599,6978,7248286,7255264
1347219,6256,7249388,7255644
