# S,I,R,Nw
1625578,4,0,0
1625577,4,0,1
1625575,5,1,2
1625574,5,2,4
1625572,6,3,5
1625570,7,4,7
1625569,7,6,9
1625566,8,7,11
1625564,9,8,13
1625561,10,10,16
1625559,11,12,19
1625555,12,14,22
1625552,13,16,25
1625548,15,19,29
1625544,16,21,33
1625540,18,24,38
1625535,20,27,43
1625529,21,31,48
1625523,24,35,54
1625517,26,39,61
1625509,29,44,68
1625501,31,49,76
1625493,34,54,85
1625483,38,60,94
1625473,42,67,105
1625461,46,74,116
1625449,50,82,129
1625435,55,91,142
1625420,61,101,158
1625403,66,112,174
1625385,73,123,192
1625365,80,136,212
1625343,88,150,234
