# S,I,R,Nw
9557064,6,0,0
9557062,7,1,1
9557060,7,2,3
9557058,8,3,5
9557056,9,5,8
9557053,10,6,10
9557050,11,8,13
9557047,12,10,16
9557044,13,13,20
9557040,15,15,24
9557036,16,18,28
9557031,18,21,32
9557026,20,24,37
9557021,22,27,43
9557015,24,31,49
9557008,26,35,56
9557001,29,40,63
9556993,32,45,71
9556984,35,51,80
9556974,38,57,89
9556963,42,64,100
9556952,46,71,112
9556939,51,80,124
9556925,56,89,139
9556910,62,98,154
9556893,68,109,171
9556874,74,121,190
9556854,82,134,210
9556831,90,149,232
9556806,99,164,257
9556779,108,182,284
9556750,119,201,314
9556717,131,222,347
9556681,144,245,382
9556642,158,270,422
9556598,173,298,465
9556551,191,328,513
9556499,209,361,565
9556442,230,398,622
9556379,252,438,685
9556310,277,483,754
9556234,305,531,830
9556150,335,585,913
9556059,367,643,1004
9555959,403,707,1105
9555848,443,778,1215
9555727,487,855,1336
9555594,534,941,1469
9555448,587,1034,1615
9555288,645,1137,1775
9555112,708,1249,1951
9554919,777,1373,2144
9554707,854,1509,2357
9554474,937,1658,2589
9554218,1029,1822,2845
9553937,1130,2002,3126
9553629,1241,2200,3434
9553291,1363,2416,3773
9552919,1496,2655,4145
9552511,1643,2916,4553
9552063,1804,3203,5001
9551571,1981,3518,5493
9551030,2175,3864,6033
9550437,2388,4245,6626
9549786,2621,4662,7277
9549072,2878,5120,7992
9548287,3160,5623,8776
9547426,3469,6175,9637
9546481,3808,6781,10583
9545443,4181,7446,11621
9544304,4589,8176,12760
9543054,5038,8978,14010
9541681,5530,9858,15382
9540175,6070,10824,16888
9538523,6662,11885,18541
9536709,7312,13048,20354
9534719,8025,14326,22344
9532536,8807,15727,24528
9530140,9664,17266,26923
9527512,10604,18953,29551
9524629,11635,20806,32434
9521468,12764,22837,35596
9518001,14002,25066,39063
9514199,15359,27512,42865
9510030,16846,30194,47033
9505461,18473,33135,51602
9500453,20256,36360,56610
9494965,22208,39897,62098
9488953,24343,43773,68111
9482367,26680,48022,74696
9475155,29235,52679,81908
9467260,32029,57781,89804
9458618,35081,63370,98445
9449164,38415,69491,107900
9438823,42055,76192,118241
9427517,46025,83527,129547
9415161,50354,91554,141902
9401664,55072,100334,155400
9386927,60207,109935,170136
9370846,65795,120428,186217
9353308,71868,131893,203755
9334194,78462,144414,222870
9313376,85615,158079,243687
9290720,93365,172985,266344
9266084,101750,189236,290980
9239319,110811,206940,317745
9210269,120588,226213,346795
9178773,131119,247178,378290
9144664,142442,269963,412399
9107771,154594,294705,449293
9067919,167607,321543,489144
9024935,181511,350623,532129
8978642,196330,382097,578421
8928870,212081,416119,628194
8875452,228774,452844,681612
8818231,246410,492429,738833
8757060,264977,535032,800003
8691810,284454,580806,865254
8622368,304803,629899,934696
8548645,325972,682452,1008418
8470581,347891,738598,1086483
8388143,370473,798453,1168920
8301336,393614,862120,1255728
8210201,417187,929682,1346863
8114820,441051,1001199,1442244
8015320,465044,1076706,1541744
7911870,488989,1156211,1645194
7804687,512693,1239689,1752377
7694030,535955,1327085,1863034
7580203,558562,1418305,1976861
7463548,580298,1513224,2093515
7344446,600946,1611677,2212618
7223305,620297,1713467,2333758
7100562,638147,1818360,2456501
6976670,654310,1926089,2580393
6852094,668615,2036360,2704969
6727303,680916,2148850,2829760
6602762,691093,2263214,2954301
6478925,699053,2379091,3078138
6356230,704734,2496105,3200834
6235089,708106,2613874,3321974
6115888,709169,2732012,3441176
5998978,707954,2850137,3558085
5884678,704518,2967874,3672386
5773264,698948,3084858,3783800
5664976,691350,3200744,3892087
5560016,681851,3315203,3997048
5458544,670595,3427930,4098519
5360686,657738,3538645,4196377
5266531,643442,3647096,4290532
5176136,627877,3753056,4380927
5089528,611214,3856328,4467536
5006705,593622,3956743,4550359
4927643,575267,4054160,4629421
4852296,556309,4148465,4704768
4780599,536899,4239571,4776464
4712473,517182,4327415,4844590
4647826,497288,4411955,4909238
4586554,477341,4493175,4970510
4528546,457451,4571072,5028517
4473687,437716,4645667,5083377
4421853,418225,4716991,5135210
4372923,399054,4785093,5184141
4326770,380269,4850031,5230294
4283269,361926,4911874,5273794
4242296,344073,4970700,5314767
4203729,326746,5026595,5353334
4167447,309975,5079647,5389616
4133334,293784,5129952,5423730
4101274,278188,5177608,5455790
4071158,263197,5222715,5485906
4042880,248816,5265374,5514184
4016337,235045,5305688,5540726
3991432,221881,5343756,5565631
3968072,209316,5379681,5588992
3946166,197342,5413561,5610897
3925631,185945,5445494,5631433
3906384,175111,5475574,5650680
3888349,164825,5503895,5668714
3871454,155070,5530546,5685609
3855629,145826,5555614,5701434
3840810,137077,5579182,5716253
3826935,128802,5601332,5730129
3813945,120983,5622142,5743119
3801786,113599,5641684,5755278
3790406,106632,5660031,5766657
3779757,100062,5677251,5777307
3769792,93871,5693407,5787271
3760469,88039,5708561,5796594
3751748,82550,5722772,5805316
3743589,77385,5736096,5813474
3735958,72527,5748584,5821105
3728821,67961,5760288,5828243
3722146,63670,5771253,5834918
3715904,59640,5781526,5841160
3710067,55856,5791147,5846997
3704609,52303,5800157,5852455
3699505,48970,5808594,5857558
3694734,45843,5816492,5862329
3690273,42910,5823886,5866790
3686103,40160,5830806,5870960
3682205,37582,5837282,5874859
3678560,35166,5843343,5878503
3675154,32903,5849013,5881910
3671969,30782,5854318,5885094
3668993,28795,5859281,5888071
3666211,26935,5863924,5890853
3663610,25193,5868266,5893453
3661180,23562,5872328,5895883
3658908,22035,5876126,5898155
3656785,20606,5879678,5900278
3654801,19268,5883000,5902262
3652947,18016,5886106,5904116
3651214,16845,5889010,5905849
3649595,15750,5891725,5907469
3648081,14724,5894264,5908982
3646667,13765,5896637,5910397
3645345,12868,5898856,5911719
3644110,12030,5900930,5912954
3642955,11245,5902869,5914108
3641877,10511,5904682,5915187
3640869,9825,5906376,5916195
3639927,9183,5907959,5917136
3639047,8583,5909439,5918017
3638224,8023,5910823,5918839
3637456,7498,5912116,5919608
3636738,7008,5913324,5920326
3636067,6549,5914453,5920997
