# S,I,R,Nw
1893990,6,0,0
1893988,7,1,1
1893986,8,2,3
1893984,8,3,5
1893982,9,5,8
1893979,10,7,10
1893976,11,8,13
1893973,12,10,16
1893970,13,13,19
1893966,14,15,23
1893962,16,18,27
1893958,17,20,31
1893953,19,23,36
1893948,21,27,41
1893942,23,31,47
1893936,25,35,53
1893929,27,39,60
1893922,30,44,67
1893914,33,49,75
1893905,36,55,84
1893895,39,61,94
1893885,43,68,105
1893873,47,76,116
1893861,51,84,129
1893847,56,93,142
1893832,61,103,157
1893815,67,113,174
1893798,73,125,192
1893778,80,138,211
1893757,87,152,233
1893733,95,167,256
1893708,104,184,282
1893680,114,202,310
