# S,I,R,Nw
17264936,6,0,0
17264934,7,1,2
17264931,8,2,4
17264929,9,4,7
17264925,11,5,10
17264921,13,7,14
17264917,15,10,19
17264912,17,13,24
17264905,20,16,30
17264898,24,20,37
17264890,28,24,46
17264881,32,29,55
17264870,37,35,66
17264857,43,42,79
17264842,50,49,94
17264825,58,59,111
17264805,68,69,131
17264781,79,81,154
17264755,91,96,181
17264723,106,112,212
17264687,123,131,249
17264645,143,154,290
17264597,166,179,339
17264540,192,209,395
17264475,223,244,461
17264399,259,284,537
17264311,300,331,625
17264209,348,385,727
17264090,404,447,845
17263953,469,520,983
17263794,543,604,1142
17263609,630,702,1327
17263395,731,816,1541
17263146,848,947,1789
17262858,984,1100,2077
17262524,1141,1276,2411
17262137,1323,1481,2799
17261688,1534,1719,3248
17261167,1779,1995,3769
17260563,2063,2315,4372
