# S,I,R,Nw
877661,0,0,0
877661,0,0,0
877660,0,0,0
877660,1,0,0
877660,1,0,1
877659,1,0,1
877659,1,1,2
877658,2,1,2
877657,2,1,3
877656,3,2,4
877655,3,2,5
877654,4,3,7
877652,5,4,8
877650,6,5,10
877648,7,6,13
877645,9,7,16
877641,10,9,19
877637,13,11,23
877632,15,13,28
877626,18,16,34
877619,22,20,42
877610,27,24,50
877600,32,29,61
877587,39,35,73
877572,47,42,88
877554,56,50,106
877532,67,61,128
877506,81,73,154
877475,97,88,185
877437,117,106,223
877392,141,128,268
877338,169,153,322
877273,203,184,387
