# S,I,R,Nw
3506852,0,0,0
3506852,0,0,0
3506851,0,0,0
3506851,1,0,0
3506850,1,0,1
3506850,1,0,2
3506849,2,1,2
3506848,2,1,3
3506847,3,2,5
3506845,4,2,6
3506843,5,3,8
3506841,6,4,10
3506838,8,5,13
3506834,10,7,17
3506830,13,9,22
3506824,16,11,27
3506817,20,15,34
3506808,25,18,43
3506798,31,23,54
3506784,39,29,67
3506767,48,36,84
3506746,60,45,105
3506720,75,57,131
3506688,93,71,164
3506647,116,88,204
3506597,145,110,254
3506534,180,137,317
3506457,224,171,395
3506360,279,212,492
3506239,348,265,612
3506089,433,329,762
3505903,538,410,948
3505671,670,511,1180
