# S,I,R,Nw
1481013,5,0,0
1481012,5,0,1
1481010,6,1,3
1481008,7,3,5
1481005,8,4,7
1481003,9,6,10
1480999,11,7,13
1480996,12,9,17
1480992,14,12,21
1480988,16,14,25
1480982,18,17,30
1480977,20,20,36
1480970,23,24,43
1480963,26,28,50
1480954,30,33,58
1480945,34,38,68
1480934,39,45,79
1480922,44,52,91
1480908,50,60,105
1480892,57,69,121
1480874,65,79,139
1480854,73,90,159
1480831,83,103,182
1480805,94,118,208
1480775,107,135,238
1480741,122,154,271
1480703,138,176,309
1480660,157,201,353
1480611,178,229,402
1480556,202,260,457
1480493,229,296,520
1480421,259,337,591
1480340,294,383,672
1480248,334,435,764
