# S,I,R,Nw
7164778,9,0,0
7164774,11,1,3
7164771,12,3,6
7164767,14,6,10
7164763,15,8,14
7164758,17,11,19
7164753,20,14,24
7164747,22,18,30
7164740,25,22,37
7164732,28,26,45
7164724,32,31,53
7164714,36,37,63
7164703,40,43,74
7164691,45,51,86
7164677,51,59,100
7164661,57,68,116
7164644,65,78,133
7164624,73,90,153
7164602,82,103,175
7164577,92,117,200
7164549,104,134,228
7164518,117,152,259
7164483,131,173,294
7164443,147,196,334
7164399,166,222,378
7164348,186,252,429
7164292,210,285,485
7164229,236,322,548
7164158,265,364,619
7164078,298,411,699
7163988,335,463,789
7163887,377,523,890
7163773,424,589,1004
