# S,I,R,Nw
45919046,2,0,0
45919045,2,0,0
45919044,3,0,1
45919043,4,1,3
45919041,4,2,4
45919039,5,3,6
45919037,6,4,8
45919035,8,5,11
45919032,9,7,14
45919028,11,9,18
45919023,13,11,22
45919018,16,13,27
45919012,19,16,33
45919005,23,20,41
45918996,27,24,49
45918986,32,29,59
45918974,38,35,71
45918960,45,42,85
45918943,54,51,103
45918923,64,61,123
45918899,76,72,146
45918871,90,86,175
45918837,107,103,208
45918798,127,123,248
45918751,151,146,295
45918695,179,174,350
45918629,212,206,416
45918551,251,245,494
45918459,298,291,587
45918350,353,345,696
45918221,418,409,825
45918067,495,485,978
45917886,587,575,1160
45917670,695,682,1375
45917416,823,808,1630
45917114,975,958,1932
45916757,1155,1135,2289
45916333,1369,1345,2712
45915832,1621,1594,3213
45915238,1920,1889,3807
45914535,2275,2238,4511
45913702,2694,2651,5343
45912716,3191,3141,6330
45911548,3780,3720,7498
45910164,4477,4407,8882
45908525,5302,5220,10520
45906585,6279,6183,12460
45904288,7436,7323,14758
45901567,8806,8674,17478
45898345,10429,10273,20700
45894530,12350,12167,24515
45890013,14625,14410,29033
45884664,17318,17066,34382
45878332,20506,20210,40714
45870835,24279,23934,48210
45861961,28745,28342,57084
45851457,34030,33561,67588
45839025,40283,39739,80020
45824314,47681,47052,94731
45806909,56430,55708,112136
45786320,66776,65951,132725
45761970,79006,78072,157075
45733180,93457,92410,185865
45699151,110526,109370,219894
45658946,130678,129424,260100
45611463,154453,153131,307582
45555416,182486,181145,363629
45489300,215511,214237,429746
45411363,254378,253307,507683
45319570,300068,299409,599475
45211568,353708,353771,707477
45084645,416578,417824,834401
44935693,490130,493224,983352
44761176,575987,581885,1157870
44557095,675949,686004,1361951
44318973,791980,808094,1600072
44041856,926185,951007,1877190
43720328,1080766,1117954,2198718
43348572,1257957,1312518,2570473
42920470,1459927,1538650,2998575
42429753,1688647,1800647,3489292
41870222,1945718,2103108,4048824
41236030,2232164,2450853,4683016
40522047,2548193,2848808,5396999
39724269,2892930,3301848,6194776
38840285,3264170,3814593,7078761
37869727,3658150,4391171,8049318
36814694,4069414,5034940,9104351
35680055,4490786,5748207,10238991
34473592,4913509,6531946,11445453
33205929,5327555,7385563,12713116
31890212,5722119,8306716,14028834
30541558,6086245,9291244,15377488
29176315,6409538,10333195,16742731
27811205,6682864,11424978,18107840
26462456,6898959,12557633,19456590
25145008,7052867,13721172,20774038
23871889,7142164,14904995,22047156
22653794,7166948,16098305,23265251
21498884,7129639,17290524,24420161
20412795,7034610,18471642,25506250
19398806,6887731,19632511,26520240
18458120,6695875,20765052,27460925
17590214,6466452,21862382,28328832
16793194,6206986,22918867,29125851
16064151,5924782,23930115,29854895
15399470,5626666,24892912,30519576
14795098,5318818,25805131,31123948
14246758,5006675,26665614,31672287
13750120,4694884,27474044,32168926
13300918,4387317,28230812,32618127
12895046,4087108,28936893,33023999
12528610,3796709,29593728,33390435
12197964,3517972,30203112,33721082
11899726,3252215,30767107,34019320
11630785,3000309,31287954,34288261
11388294,2762746,31768007,34530752
11169659,2539711,32209677,34749386
10972529,2331137,32615382,34946516
10794773,2136762,32987512,35124273
