state,population,I_reported,series_length,best_cost,beta,gamma,initial_I,S,I,R,Nw
PA,8602865,86,19,2.5848992841390017,0.3667014587308465,0.16666666666666666,1.35093080740669e-07,8602767.237049442,53.85742187329015,43.905528682167656,96.60076301941173
MA,7075181,132,17,7.84917381437769,0.3816230819390736,0.16666666666666666,2.8491693964650716e-07,7075043.117307592,78.54481793967483,59.33787446742548,135.86685348913514
AM,4144597,417,24,26.50049358640084,0.3469759840711458,0.16666666666666666,6.863960651146367e-07,4144182.5023332164,216.75408050250743,197.74358628294223,411.6528317131639
RJ,17264943,1394,32,149.2437011766322,0.3148236075202628,0.16666666666666666,3.673875396422965e-07,17263395.24644566,731.6984940783525,816.0550602664961,1541.410629414014
RN,3506853,246,25,20.29750165173272,0.38515519623640665,0.16666666666666666,1.7001633638140044e-07,3506597.413320737,145.24162635376632,110.34505290925466,254.99045696373278
MG,21168791,498,29,78.70538168065833,0.2987914979816072,0.16666666666666666,2.506567973732693e-07,21168240.114232875,246.55598296495003,304.329784161298,545.579665769924
RS,11377239,468,27,67.02021276494727,0.2891578996103276,0.16666666666666666,7.547248862427655e-07,11376694.861889863,235.44602142818368,308.69208870843005,535.5514247265819
CE,9132078,963,21,383.84029659984384,0.3644583900366602,0.16666666666666666,1.0950410191415355e-06,9130906.808763703,640.1445009805075,531.0467353128145,1161.1912362933215
GO,7018354,115,25,3.108623366902564,0.2505233580982024,0.16666666666666666,7.376898029683449e-07,7018238.054795805,42.25360066324822,73.6916035297714,110.76783601359756
PR,11433957,445,25,15.897638087716027,0.3061920350577396,0.16666666666666666,5.374485595543371e-07,11433520.748679638,202.13106252275205,234.1202578438316,430.1061566469273
PE,9557071,201,25,14.337104205127625,0.2602243212899628,0.16666666666666666,6.854288645880586e-07,9556893.074590223,68.16344451005017,109.76196527037821,171.3747174561109
ES,4018650,194,31,17.60076173957039,0.3180224515032227,0.16666666666666666,2.2652390117220713e-07,4018440.6608767463,100.10454097409016,109.234582280371,208.42880297901542
BA,14873064,401,31,16.1637627534396,0.3109652176957241,0.16666666666666666,1.449713194817908e-07,14872645.243601015,195.469805504086,223.2865934788628,416.6002312701317
SC,7164788,379,25,47.73671990300867,0.28368588279732043,0.16666666666666666,1.3957147092140058e-06,7164348.995118897,186.95473144911358,252.05014965560315,429.0048811047168
DF,3015268,468,30,114.09830046011692,0.2757643279384059,0.16666666666666666,2.934227304331752e-06,3014690.333762489,233.8495618568432,343.81667565395884,568.8187558153243
SP,45919049,4620,41,320.0605100532758,0.3360150872448716,0.16666666666666666,5.3901163504765214e-08,45913699.3826253,2697.228939709849,2652.388435003075,5347.142284544791
BR,217026005,11424,41,1103.3451499711787,0.3281254140276492,0.16666666666666666,3.679343612914402e-08,217013140.43420768,6334.052486255011,6530.513306087349,12856.580659889029
AP,845731,32,17,,,,,,,,
PI,3273227,24,18,,,,,,,,
RR,605761,42,16,,,,,,,,
MT,3484466,60,17,,,,,,,,
PB,4018127,35,19,,,,,,,,
AL,3337357,28,29,,,,,,,,
MS,2778986,65,23,,,,,,,,
AC,881935,48,20,,,,,,,,
RO,1777225,14,17,,,,,,,,
TO,1572866,17,19,,,,,,,,
SE,2298696,32,23,,,,,,,,
