# S,I,R,Nw
377052,4,0,0
377051,4,0,1
377050,5,1,2
377049,5,2,3
377047,5,3,4
377046,6,4,6
377044,6,5,7
377043,7,6,9
377041,7,7,10
377039,8,9,12
377037,8,10,14
377035,9,11,16
377033,9,13,19
377031,10,15,21
377028,11,17,24
377025,12,19,26
377022,12,21,29
377019,13,23,32
377016,14,25,36
377012,15,28,39
377008,16,31,43
377004,18,33,47
377000,19,37,52
376995,20,40,56
376990,22,44,61
376985,23,47,67
376979,25,52,73
376973,27,56,79
376966,29,61,85
376959,31,66,92
376952,33,71,100
376943,35,77,108
376935,38,83,117
376926,40,90,126
376916,43,97,136
376905,46,104,147
376894,50,112,158
376882,53,121,170
376869,57,130,183
376855,61,140,197
376840,65,151,212
376824,70,162,228
376807,75,174,245
376789,80,187,263
376769,85,201,282
376749,91,216,303
376726,98,231,325
376703,105,248,349
376677,112,266,374
376650,120,286,402
376621,128,307,431
376590,137,329,462
376556,147,352,495
376521,157,378,531
