# S,I,R,Nw
881929,5,0,0
881928,5,0,1
881927,5,1,2
881925,6,2,3
881924,6,3,5
881922,7,5,7
881921,7,6,8
881919,8,7,10
881917,8,9,12
881915,9,10,14
881912,10,12,17
881910,10,13,19
881907,11,15,22
881904,12,17,25
881901,13,19,28
881898,14,22,31
881894,15,24,35
881890,16,27,39
881886,17,30,43
881882,19,33,47
881877,20,36,52
881872,21,40,57
881867,23,44,62
881861,25,48,68
881855,27,52,74
881848,29,57,81
881841,31,62,88
881834,33,67,95
881825,35,73,104
881817,38,79,112
881807,41,86,122
881797,44,93,132
881786,47,100,143
881775,50,109,154
881762,54,117,167
881749,58,127,180
881734,62,137,195
881719,67,148,210
881702,72,159,227
881685,77,172,244
881666,83,185,263
881645,89,200,284
881623,95,215,306
881600,102,232,329
881575,110,249,354
881548,117,268,381
881519,126,289,410
881488,135,310,441
881455,145,334,474
881419,156,359,510
881381,167,386,548
881340,179,415,589
881296,192,446,633
881248,206,479,681
