# S,I,R,Nw
1021708,0,0,0
1021708,0,0,0
1021708,0,0,0
1021708,0,0,0
1021708,0,0,0
1021708,0,0,0
1021708,0,0,0
1021708,0,0,0
1021708,0,0,0
1021708,0,0,0
1021708,0,0,0
1021707,0,0,1
1021707,0,0,1
1021707,0,0,1
1021707,0,0,1
1021706,1,1,2
1021706,1,1,2
1021706,1,1,2
1021705,1,1,3
1021704,1,2,3
1021704,2,2,4
1021703,2,2,5
1021702,3,3,6
1021701,3,3,7
1021700,4,4,8
1021698,4,5,10
1021697,5,6,11
1021695,6,7,13
1021692,7,8,16
1021690,9,9,18
1021686,10,11,21
1021683,12,13,25
1021679,14,15,29
1021674,16,18,34
1021668,19,21,40
1021661,22,24,47
1021654,26,28,54
1021645,30,33,63
1021634,35,38,74
1021622,41,45,86
1021608,47,52,100
1021591,55,61,117
1021572,64,71,136
1021550,75,83,158
1021524,87,96,184
1021494,102,112,214
1021458,119,130,249
1021418,138,152,290
1021370,161,177,338
1021315,187,206,393
1021250,218,240,458
1021175,253,279,533
1021088,295,325,620
1020987,343,378,721
1020869,399,440,839
1020732,464,511,976
1020572,540,595,1136
1020387,628,692,1321
1020171,731,806,1537
1019920,850,937,1788
1019628,989,1090,2079
1019290,1150,1268,2418
1018896,1337,1475,2812
