# S,I,R,Nw
3337356,0,0,0
3337356,0,0,0
3337356,0,0,0
3337356,0,0,0
3337356,0,0,0
3337356,0,0,0
3337356,0,0,0
3337356,0,0,0
3337356,0,0,0
3337356,0,0,0
3337355,0,0,1
3337355,0,0,1
3337355,0,0,1
3337355,0,0,1
3337354,1,1,2
3337354,1,1,2
3337353,1,1,2
3337353,1,1,3
3337352,2,2,4
3337351,2,2,4
3337351,2,3,5
3337350,3,3,6
3337349,3,4,7
3337347,4,4,9
3337346,5,5,10
3337344,6,6,12
3337342,7,7,14
3337339,8,8,17
3337336,9,10,19
3337333,11,12,23
3337329,12,14,27
3337325,15,16,31
3337320,17,19,36
3337314,20,22,42
3337307,23,26,49
3337299,27,30,57
3337289,31,35,67
3337278,37,41,78
3337266,43,47,90
3337251,50,55,105
3337234,58,64,122
3337214,67,75,142
3337190,78,87,165
3337164,91,101,192
3337132,106,117,224
3337096,123,137,260
3337053,143,159,302
3337004,167,185,352
3336947,194,215,409
3336881,225,250,475
3336803,262,290,552
3336714,304,337,642
3336609,354,392,746
3336488,411,456,868
3336347,478,530,1008
3336184,556,616,1172
3335994,646,716,1362
3335773,750,832,1583
3335516,872,967,1840
3335218,1013,1124,2138
3334871,1178,1307,2484
3334469,1368,1518,2887
3334001,1590,1765,3355
