# S,I,R,Nw
46699,3,0,0
46698,3,0,0
46697,3,1,1
46696,4,1,3
46695,4,2,4
46694,5,3,5
46692,6,4,7
46690,6,5,9
46688,7,6,10
46686,8,8,13
46684,9,9,15
46681,10,11,18
46678,11,12,21
46675,12,14,24
46671,14,17,28
46667,15,19,32
46663,17,22,36
46658,19,25,41
46652,21,28,47
46646,23,32,53
46639,26,36,60
46631,29,41,67
46623,32,46,76
46613,36,52,85
46603,40,58,96
46591,45,66,108
46578,50,74,121
46564,55,82,135
46548,62,92,151
46530,69,103,169
46510,76,115,189
46488,85,129,211
46464,94,144,235
46437,105,160,262
46406,116,179,292
