# S,I,R,Nw
98501,1,0,0
98501,1,0,0
98500,1,0,0
98500,1,0,1
98499,2,1,1
98499,2,1,2
98498,2,1,3
98497,2,2,3
98497,3,2,4
98496,3,3,5
98495,3,3,6
98494,4,4,7
98492,4,5,8
98491,5,6,10
98489,5,7,11
98488,6,8,13
98486,7,9,15
98484,8,10,17
98481,9,12,20
98479,10,13,22
98476,11,15,25
98472,12,17,28
98469,14,19,32
98464,15,22,36
98460,17,25,41
98455,19,28,46
98449,21,31,52
98443,24,35,58
98435,27,39,65
98427,30,44,73
98419,33,49,82
98409,37,55,92
98398,42,62,103
98386,46,69,115
98372,52,78,129
98357,58,87,144
98340,64,97,161
98321,72,109,180
98300,80,121,201
98277,89,136,224
98250,100,151,250
98221,111,169,279
