# S,I,R,Nw
95321,8,0,0
95319,9,1,2
95317,9,3,4
95314,10,4,7
95311,11,6,9
95308,12,8,12
95305,13,10,16
95301,15,13,19
95297,16,15,23
95293,17,18,28
95288,19,21,32
95283,20,25,37
95278,22,28,43
95272,24,32,49
95266,26,37,55
95259,29,41,62
95251,31,46,70
95243,34,52,78
95234,37,58,87
95224,40,64,97
95213,44,71,107
95202,48,79,119
95189,52,87,131
95176,56,96,145
95161,61,106,160
95145,67,117,176
95127,72,129,193
95109,79,141,212
95088,85,155,233
95066,93,170,255
95041,101,186,279
95015,110,204,306
94987,119,223,334
94955,129,244,365
94922,140,266,399
94885,153,291,435
94846,166,317,475
94803,180,346,518
94756,195,378,565
94705,212,411,615
94650,230,448,670
94591,250,488,730
94526,271,532,795
94456,294,579,865
