# S,I,R,Nw
112715,0,0,0
112715,0,0,0
112715,0,0,0
112715,0,0,0
112715,0,0,0
112715,0,0,0
112715,0,0,0
112715,0,0,0
112715,0,0,0
112715,0,0,0
112714,0,0,0
112714,0,0,1
112714,0,0,1
112714,0,0,1
112713,1,1,2
112713,1,1,2
112712,1,1,2
112712,1,1,3
112711,2,2,4
112710,2,2,4
112710,2,3,5
112708,3,3,6
112707,4,4,8
112706,4,4,9
112704,5,5,11
112702,6,6,13
112700,7,7,15
112697,9,9,18
112694,10,11,21
112690,12,12,25
112686,14,15,29
112681,17,17,34
112674,20,20,40
112667,23,24,47
112659,27,28,56
112649,32,33,65
112638,37,39,77
112625,44,46,90
112609,51,54,106
112591,60,63,124
112569,71,74,146
112544,83,87,171
112515,97,102,200
112480,114,120,235
112440,134,141,275
112393,157,165,322
112337,184,193,378
112273,215,227,442
112197,252,266,518
