# S,I,R,Nw
23377,0,0,0
23377,0,0,0
23377,0,0,0
23377,0,0,0
23377,0,0,0
23376,0,0,0
23376,0,0,0
23376,0,0,1
23376,1,0,1
23375,1,1,1
23375,1,1,2
23375,1,1,2
23374,1,1,3
23374,1,2,3
23373,2,2,4
23372,2,2,4
23371,2,3,5
23371,3,3,6
23370,3,4,7
23368,4,4,8
23367,4,5,10
23366,5,6,11
23364,6,7,13
23362,6,8,15
23360,7,9,17
23357,8,11,19
23354,10,12,22
23351,11,14,25
23348,13,16,29
23343,14,19,33
23339,16,21,38
23333,19,24,43
23327,21,28,49
23321,24,32,56
23313,28,36,64
23304,32,41,73
23294,36,47,83
23282,41,53,94
23270,46,61,107
23255,53,69,122
23238,60,78,138
23219,68,89,157
23198,77,101,179
23174,88,115,203
23146,99,131,230
