# S,I,R,Nw
465488,6,0,0
465486,7,1,1
465484,8,2,3
465481,9,4,6
465479,10,5,8
465476,10,7,11
465473,12,9,14
465470,13,11,17
465466,14,13,21
465462,15,16,25
465458,17,18,29
465454,18,21,34
465448,20,25,39
465443,22,28,44
465437,24,32,50
465430,27,37,57
465422,29,42,65
465414,32,47,73
465405,36,53,82
465396,39,59,91
465385,43,66,102
465373,47,73,114
465361,51,81,126
465347,56,91,140
465331,62,100,156
465314,68,111,173
465296,74,123,191
465276,81,136,211
465254,89,151,233
465230,98,166,258
465203,107,183,284
465174,117,202,313
465142,129,223,345
465107,141,245,380
465069,155,270,418
465027,169,297,460
464981,185,327,506
464931,203,359,556
464876,223,395,611
464816,244,434,671
464750,267,476,737
464678,293,523,809
464599,321,574,888
464512,351,630,975
464418,385,691,1070
464314,421,759,1173
464200,461,832,1287
464076,505,913,1411
463940,553,1001,1547
463791,605,1097,1696
463628,662,1203,1859
