# S,I,R,Nw
113844,9,0,0
113841,10,1,2
113839,11,3,4
113836,11,5,7
113833,12,7,10
113830,13,9,13
113827,14,12,16
113824,15,14,19
113820,16,17,23
113816,17,19,27
113812,18,22,31
113808,19,25,35
113804,20,29,39
113799,21,32,44
113794,23,36,49
113788,24,40,55
113783,26,44,60
113776,27,49,67
113770,29,54,73
113763,31,59,80
113756,33,64,87
113748,35,70,95
113740,37,76,103
113731,39,82,112
113722,42,89,121
113712,44,96,131
113701,47,104,142
113690,50,112,153
113678,53,121,165
113666,56,130,177
113653,60,140,190
113638,64,150,205
113623,68,161,220
113608,72,173,235
113591,76,185,252
