# S,I,R,Nw
845723,7,0,0
845721,7,1,2
845719,8,2,4
845717,9,4,6
845714,10,5,9
845711,11,7,12
845708,12,9,15
845704,14,12,19
845700,15,14,23
845696,17,17,27
845691,19,20,32
845686,21,23,37
845680,23,27,43
845673,25,31,50
845666,28,36,57
845658,31,41,65
845650,34,46,73
845640,37,52,83
845630,41,59,93
845618,46,66,105
845605,50,74,118
845591,55,83,132
845576,61,93,147
845558,68,104,164
845540,74,115,183
845519,82,129,204
845496,91,143,227
845471,100,159,252
845443,110,177,280
845412,121,196,311
845378,134,217,344
845341,148,241,382
845300,163,267,423
845255,179,295,468
845205,198,327,518
845150,218,361,573
845089,240,400,633
845023,265,442,700
844949,292,488,774
844868,322,540,855
844779,355,596,944
844680,391,658,1042
844572,431,727,1151
844453,475,802,1270
844321,523,885,1402
844176,576,977,1547
844017,635,1078,1706
843841,700,1189,1882
843647,771,1312,2076
843434,849,1447,2289
843199,935,1595,2524
