# S,I,R,Nw
622636,2,0,0
622636,2,0,0
622636,2,0,0
622635,2,1,1
622635,2,1,1
622634,2,1,2
622634,2,2,2
622633,2,2,3
622632,2,3,4
622632,2,3,4
622631,3,4,5
622630,3,4,5
622630,3,5,6
622629,3,5,7
622628,3,6,8
622628,3,7,8
622627,3,7,9
622626,4,8,10
622625,4,9,11
622624,4,9,12
622623,4,10,13
622622,4,11,14
622621,5,12,15
622620,5,13,16
622619,5,14,17
622618,5,14,18
622617,5,15,19
622615,6,16,21
622614,6,17,22
622613,6,19,23
622611,6,20,25
622610,7,21,26
622608,7,22,28
622607,7,23,29
622605,8,25,31
622603,8,26,33
622602,8,28,34
622600,9,29,36
622598,9,31,38
622596,9,32,40
622594,10,34,42
622591,10,36,44
622589,11,38,47
622587,11,40,49
622584,12,41,52
622582,12,44,54
622579,13,46,57
622576,13,48,60
622573,14,50,63
622570,14,53,66
622567,15,55,69
622564,16,58,72
622560,16,61,75
622557,17,64,79
622553,18,67,83
622549,19,70,87
622545,19,73,91
622541,20,76,95
622537,21,80,99
622532,22,83,104
622528,23,87,108
622523,24,91,113
622517,25,95,118
622512,26,100,124
622507,27,104,129
