# S,I,R,Nw
178207,2,0,0
178206,2,0,0
178205,3,0,1
178205,3,1,2
178204,3,2,3
178203,4,2,4
178202,4,3,5
178200,4,4,6
178199,5,5,7
178198,5,5,9
178196,6,7,10
178194,7,8,12
178192,7,9,14
178190,8,10,16
178188,9,12,19
178185,10,13,21
178182,11,15,24
178179,12,17,27
178176,13,19,31
178172,15,22,34
178168,16,25,39
178163,18,27,43
178158,20,31,48
178153,22,34,54
178147,24,38,60
178140,26,42,66
178133,29,47,74
178125,32,52,82
178116,35,58,90
178107,38,64,100
178096,42,71,110
178084,46,78,122
178072,51,86,135
178058,56,95,149
178042,61,105,164
178025,67,116,181
178007,74,128,200
177986,81,141,220
177964,89,155,242
177940,98,171,267
177913,108,188,294
177883,119,207,323
177851,130,228,356
177815,143,251,392
177776,157,276,431
177733,173,303,474
