# S,I,R,Nw
220385,0,0,0
220385,0,0,0
220385,0,0,0
220385,0,0,0
220384,0,0,0
220384,0,0,0
220384,0,0,1
220384,1,0,1
220383,1,1,1
220383,1,1,2
220382,1,1,2
220382,1,1,3
220381,2,2,3
220381,2,2,4
220380,2,2,4
220379,2,3,5
220378,3,3,6
220377,3,4,7
220376,4,5,8
220375,4,5,9
220374,5,6,11
220372,5,7,12
220370,6,8,14
220368,7,9,16
220366,8,10,18
220364,9,12,21
220361,10,14,24
220358,11,15,27
220354,13,18,30
220350,15,20,35
220345,16,23,39
220340,19,26,44
220335,21,29,50
220328,24,33,56
220321,27,37,64
220313,30,42,72
220303,34,47,81
220293,38,53,92
220281,43,60,103
220268,49,68,117
220253,55,77,132
220236,62,86,148
220217,70,97,167
220196,78,110,188
220172,88,124,212
220145,100,140,239
220115,112,157,269
220081,126,177,303
220043,142,200,342
220000,160,225,385
219951,180,253,433
219897,203,285,488
