# S,I,R,Nw
358161,2,0,0
358160,2,0,0
358160,2,0,1
358159,3,1,2
358158,3,2,3
358157,4,2,4
358155,4,3,5
358154,5,4,7
358152,6,5,9
358150,6,6,10
358148,7,7,13
358146,8,8,15
358143,10,10,18
358140,11,12,21
358136,12,14,24
358132,14,16,28
358128,16,19,33
358123,18,22,38
358118,20,25,43
358111,23,28,49
358104,26,33,57
358096,29,37,65
358087,33,43,74
358077,37,48,84
358065,42,55,96
358052,48,63,109
358037,54,71,124
358020,61,81,140
358002,69,92,159
357980,78,104,180
357956,88,118,204
357929,99,134,231
357899,112,151,262
357864,127,171,296
357826,143,194,335
357782,161,219,379
357732,182,248,428
357677,206,280,484
357614,232,317,547
357543,262,358,618
357463,295,404,698
357372,333,457,788
357271,376,516,890
