# S,I,R,Nw
51911,1,0,0
51911,1,0,0
51910,1,0,0
51910,2,0,1
51909,2,1,1
51908,2,1,2
51908,2,2,3
51907,3,2,4
51906,3,3,4
51905,3,3,5
51904,4,4,6
51903,4,4,7
51902,4,5,9
51900,5,6,10
51899,6,7,12
51897,6,8,13
51895,7,9,15
51893,8,11,17
51891,8,12,19
51889,9,14,22
51886,10,15,25
51883,11,17,28
51880,13,19,31
51876,14,22,35
51872,16,24,39
51867,17,27,43
51862,19,30,48
51857,21,33,54
51851,23,37,60
51844,26,41,66
51837,28,46,74
51829,31,51,82
51820,35,57,90
51810,38,63,100
51799,42,70,111
51787,47,77,123
51774,52,86,136
51760,57,95,151
51744,63,105,167
