# S,I,R,Nw
223184,3,0,0
223182,4,0,1
223181,4,1,2
223180,5,2,3
223179,5,3,4
223177,6,4,6
223176,6,5,7
223174,7,6,9
223172,7,7,11
223170,8,8,13
223168,9,10,15
223166,9,11,17
223163,10,13,20
223160,11,15,23
223157,12,17,26
223154,13,19,29
223150,15,22,33
223146,16,24,37
223142,17,27,41
223137,19,30,46
223132,20,34,51
223127,22,37,56
223121,24,41,62
223115,26,46,68
223108,29,50,75
223100,31,55,83
223092,34,61,91
223083,37,67,100
223073,40,73,110
223062,44,80,121
223051,48,88,132
223038,52,96,145
223025,56,106,158
223010,61,115,173
222994,67,126,189
222976,72,138,207
222957,79,150,226
222937,85,164,246
222914,93,179,269
222890,101,195,293
222864,110,213,319
222835,119,232,348
