# S,I,R,Nw
203681,0,0,0
203681,0,0,0
203681,0,0,0
203681,0,0,0
203680,0,0,0
203680,0,0,0
203680,0,0,1
203680,0,0,1
203679,1,0,1
203679,1,1,1
203679,1,1,2
203678,1,1,2
203678,1,1,3
203678,1,2,3
203677,2,2,4
203676,2,2,4
203676,2,3,5
203675,2,3,6
203674,3,4,6
203673,3,4,7
203672,3,5,8
203671,4,6,9
203670,4,6,11
203668,5,7,12
203667,6,8,14
203665,6,9,16
203663,7,10,18
203661,8,12,20
203658,9,13,22
203656,10,15,25
203653,11,17,28
203649,12,19,31
203645,14,21,35
203641,16,24,39
203637,17,26,44
203631,20,30,49
203626,22,33,55
203619,24,37,61
203612,27,41,69
203604,30,46,77
203595,34,52,86
203585,38,58,96
203574,42,65,107
203561,47,72,119
203547,53,80,133
203532,59,90,149
203515,65,100,166
203496,73,112,185
203474,81,125,206
203451,91,139,230
203424,101,155,256
203395,113,173,286
203362,126,193,319
