# S,I,R,Nw
2977206,9,0,0
2977203,10,1,2
2977200,11,3,5
2977197,12,5,8
2977194,13,7,11
2977191,14,10,14
2977187,15,12,18
2977183,16,15,22
2977179,18,18,26
2977175,19,21,30
2977170,20,24,35
2977165,22,28,40
2977159,24,32,46
2977153,26,36,52
2977146,28,40,59
2977139,30,45,66
2977132,32,51,73
2977123,35,56,82
2977115,37,62,90
2977105,40,69,100
2977095,44,76,110
2977084,47,84,121
2977072,51,92,133
2977059,54,101,146
2977046,59,110,159
2977031,63,120,174
2977015,68,131,190
2976998,73,143,207
2976979,79,156,226
2976959,85,170,246
2976938,92,185,267
2976915,99,201,290
2976890,106,218,315
2976863,115,236,342
2976835,124,256,370
2976804,133,278,401
2976770,143,301,435
2976734,154,326,471
2976696,166,353,509
2976654,179,381,551
2976609,193,412,596
2976561,208,446,644
2976509,224,482,696
2976453,241,521,752
2976392,260,563,813
2976327,280,608,878
2976257,301,656,948
2976182,324,708,1023
2976101,349,764,1104
2976014,376,825,1191
2975920,405,890,1285
2975818,436,960,1387
2975710,469,1036,1495
2975592,505,1117,1613
2975466,544,1204,1739
2975330,586,1299,1875
2975183,631,1400,2022
2975026,680,1509,2179
2974856,732,1627,2349
2974673,788,1754,2532
2974476,848,1890,2729
2974264,913,2037,2941
2974036,983,2195,3169
2973791,1059,2365,3414
