# S,I,R,Nw
384619,1,0,0
384619,1,0,0
384618,1,0,0
384618,1,0,1
384617,2,1,1
384617,2,1,2
384616,2,1,3
384615,2,2,3
384614,3,2,4
384613,3,3,5
384612,4,4,6
384611,4,4,7
384610,4,5,9
384608,5,6,10
384607,6,7,12
384605,6,8,14
384603,7,9,16
384601,8,11,18
384598,9,12,20
384596,10,14,23
384593,11,16,26
384589,13,18,29
384585,14,20,33
384581,16,23,37
384577,17,25,42
384571,20,29,47
384566,22,32,53
384559,24,36,59
384552,27,40,67
384544,30,45,75
384535,34,51,83
384525,38,57,93
384514,42,63,104
384502,47,71,116
384489,52,79,130
384473,58,88,145
384457,64,98,162
384438,72,110,181
384417,80,123,202
384394,89,137,225
384368,99,152,251
384339,110,170,279
384307,123,189,311
384272,136,211,347
384232,152,235,386
384188,169,262,430
384140,188,292,479
384085,209,325,533
384025,233,362,594
383957,259,403,661
383883,288,449,736
