# S,I,R,Nw
494101,7,0,0
494099,8,1,1
494097,8,2,4
494095,9,4,6
494092,10,5,8
494089,11,7,11
494086,12,9,14
494083,13,11,17
494080,14,14,21
494076,16,16,25
494071,17,19,29
494067,19,22,34
494062,20,25,39
494056,22,29,45
494050,24,33,51
494043,27,37,57
494036,29,42,64
494028,32,47,72
494020,35,53,81
494010,38,59,90
494000,42,66,100
493989,45,73,112
493977,50,81,124
493964,54,90,137
493949,59,99,151
493933,64,110,167
493916,70,121,184
493897,77,133,203
493877,84,147,224
493855,92,161,246
493830,100,177,271
493804,109,195,297
493774,119,214,326
493743,130,235,358
493708,142,258,392
493671,155,282,430
493629,169,309,471
493585,184,339,516
493536,201,371,565
493482,219,406,618
493424,239,444,677
493361,261,486,740
493291,285,532,809
493216,310,581,885
493133,339,635,967
493044,369,694,1057
492946,403,759,1155
492839,439,829,1262
