# S,I,R,Nw
479657,6,0,0
479655,7,1,1
479653,8,2,3
479651,8,3,5
479649,9,5,8
479646,10,7,10
479643,11,8,13
479640,12,10,16
479637,13,12,19
479634,14,15,22
479630,15,17,26
479626,16,20,30
479622,18,23,34
479617,19,26,39
479612,21,30,44
479606,23,33,50
479600,25,37,56
479593,27,42,63
479586,30,47,70
479578,32,52,78
479570,35,58,86
479560,38,64,96
479550,41,71,106
479540,45,78,117
479528,49,86,128
479515,53,94,141
479501,58,104,155
479486,63,114,170
479469,68,125,187
479451,74,137,205
479432,81,150,224
479411,88,164,245
479388,95,179,268
479363,103,196,293
479336,112,214,320
479307,122,234,349
479275,133,255,381
479241,144,278,416
479203,156,303,453
479162,170,330,494
479118,184,360,538
479070,200,392,586
479018,217,427,638
478962,236,465,694
478900,256,506,756
478834,278,550,822
478762,302,599,895
478683,328,651,973
478598,356,708,1058
478506,386,770,1150
478406,419,838,1251
478297,455,910,1359
