# S,I,R,Nw
359548,6,0,0
359546,7,1,1
359545,7,2,3
359543,8,3,5
359541,8,5,7
359538,9,6,9
359536,10,8,12
359533,11,10,14
359530,12,12,17
359527,13,14,20
359524,14,16,24
359520,15,18,27
359517,16,21,31
359512,17,24,35
359508,19,27,40
359503,20,30,45
359498,22,34,50
359492,24,38,56
359486,26,42,62
359479,28,47,68
359472,30,51,76
359464,33,57,83
359456,35,63,92
359447,38,69,101
359437,41,75,111
359426,45,83,121
359415,48,91,133
359402,52,99,145
359389,57,108,159
359374,61,118,173
359359,66,129,189
359342,71,140,206
359324,77,153,224
359304,83,166,244
359283,90,181,265
359260,98,196,288
359235,105,213,313
359208,114,232,340
359179,123,252,369
359147,133,273,400
359114,144,296,434
359077,155,321,471
359037,168,348,510
358995,181,377,553
358949,196,409,599
358899,212,443,649
358845,229,480,702
358787,247,519,761
358724,267,562,823
358656,288,609,891
358583,311,659,964
358504,336,713,1043
