# S,I,R,Nw
4018646,3,0,0
4018645,4,0,1
4018644,4,1,2
4018642,4,2,3
4018641,5,2,4
4018639,6,3,6
4018638,6,5,8
4018636,7,6,10
4018634,8,7,12
4018631,9,8,14
4018629,10,10,17
4018626,11,12,19
4018623,12,14,23
4018619,13,16,26
4018615,15,18,30
4018611,16,21,34
4018606,18,24,39
4018601,20,27,44
4018595,22,31,50
4018589,25,35,57
4018581,28,39,64
4018574,31,44,72
4018565,34,50,81
4018555,38,56,90
4018544,42,63,101
4018532,46,70,113
4018519,51,78,126
4018504,57,87,141
4018488,63,97,157
4018470,70,109,175
4018450,77,121,195
4018428,86,135,217
4018404,95,150,242
4018377,105,167,269
4018347,117,185,299
4018313,129,206,332
4018277,143,229,369
4018236,159,254,410
4018191,176,282,455
4018141,195,313,505
4018086,216,347,560
4018024,239,385,621
4017957,265,427,689
4017881,293,474,764
4017798,325,525,847
4017706,360,582,939
4017604,399,646,1041
4017491,441,716,1154
4017366,489,793,1279
4017228,541,879,1417
4017075,600,974,1571
4016905,664,1079,1740
4016717,735,1196,1928
4016509,814,1325,2136
4016279,902,1468,2367
4016023,999,1626,2622
4015741,1106,1802,2904
4015428,1224,1996,3217
4015082,1356,2211,3563
4014699,1501,2449,3946
4014275,1662,2712,4371
4013805,1840,3004,4840
4013285,2037,3327,5360
4012710,2255,3684,5936
4012073,2496,4080,6573
