# S,I,R,Nw
1448634,4,0,0
1448633,4,0,1
1448632,4,1,2
1448631,5,2,3
1448630,5,3,4
1448628,6,4,5
1448627,6,5,7
1448625,6,6,9
1448624,7,7,10
1448622,7,8,12
1448620,8,10,14
1448618,9,11,16
1448615,9,13,18
1448613,10,14,21
1448611,11,16,23
1448608,12,18,26
1448605,12,20,29
1448602,13,23,32
1448598,14,25,35
1448595,15,27,39
1448591,17,30,43
1448587,18,33,47
1448582,19,36,52
1448577,21,40,56
1448572,22,43,62
1448567,24,47,67
1448561,25,51,73
1448554,27,56,79
1448548,29,61,86
1448540,31,66,93
1448533,34,71,101
1448524,36,77,110
1448515,39,83,119
1448506,42,90,128
1448495,45,98,138
1448484,48,105,149
1448472,51,114,161
1448460,55,123,174
1448446,59,132,188
1448432,63,143,202
1448416,68,154,218
1448399,73,165,235
1448381,78,178,253
1448362,84,192,272
1448341,90,206,292
1448319,96,222,315
1448295,103,239,338
1448270,111,257,364
1448243,119,276,391
1448214,128,296,420
1448182,137,318,452
1448149,147,342,485
1448113,157,368,521
1448074,169,395,560
1448033,181,424,601
1447988,194,455,645
1447941,208,489,693
1447890,223,525,744
1447835,239,563,798
