# S,I,R,Nw
253871,1,0,0
253871,1,0,0
253870,1,0,0
253870,2,0,1
253869,2,1,2
253868,2,1,2
253867,3,2,3
253866,3,2,4
253865,3,3,5
253864,4,3,6
253863,5,4,8
253861,5,5,9
253859,6,6,11
253857,7,7,13
253855,8,9,15
253853,9,10,18
253850,10,12,21
253846,12,14,24
253842,13,16,28
253838,15,18,33
253833,17,21,38
253827,20,24,43
253821,23,28,49
253814,26,32,57
253806,29,37,65
253796,33,42,74
253786,38,48,85
253774,43,55,97
253760,49,62,110
253745,56,71,126
253727,63,81,143
253707,72,92,163
253685,82,105,186
253659,93,120,212
253630,105,137,241
253596,120,155,274
253559,136,177,312
253516,154,201,355
253468,175,228,403
