# S,I,R,Nw
119910,4,0,0
119908,5,0,1
119907,5,1,2
119906,6,2,3
119904,6,3,5
119902,7,4,7
119901,7,6,8
119899,8,7,10
119897,8,8,12
119895,9,10,14
119892,10,12,17
119890,10,13,19
119887,11,15,22
119884,12,17,25
119881,13,19,28
119878,14,22,31
119875,15,24,34
119871,16,27,38
119867,17,30,42
119862,19,33,47
119858,20,36,51
119853,21,39,56
119847,23,43,62
119841,25,47,68
119835,27,52,74
119829,29,56,81
119821,31,61,88
119814,33,67,95
119805,36,73,104
119797,38,79,112
119787,41,85,122
119777,44,93,132
119766,47,100,143
119754,51,109,155
119742,55,117,167
119728,59,127,181
119714,63,137,196
