# S,I,R,Nw
175998,9,0,0
175995,10,1,2
175992,11,3,5
175990,12,5,7
175986,13,7,11
175983,14,10,14
175980,15,12,17
175976,16,15,21
175972,17,17,25
175968,18,21,29
175963,20,24,34
175958,21,27,39
175952,23,31,45
175947,25,35,50
175940,27,39,57
175934,29,44,63
175927,31,49,70
175919,33,55,78
175911,35,60,86
175902,38,67,95
175892,41,73,105
175882,44,80,115
175871,47,88,126
175860,51,96,137
175847,54,105,150
175833,58,115,164
175819,63,125,178
175803,67,136,194
175787,72,147,210
175769,78,160,228
175749,84,174,248
175729,90,188,268
175707,96,204,290
175683,103,220,314
175657,111,238,340
175630,119,258,367
175600,128,278,397
