# S,I,R,Nw
1082925,9,0,0
1082922,11,1,2
1082918,12,3,6
1082914,14,5,10
1082910,15,8,14
1082905,17,11,19
1082900,19,14,24
1082894,22,17,30
1082888,25,21,36
1082880,28,26,44
1082872,31,31,52
1082862,35,36,62
1082852,39,43,72
1082840,44,50,84
1082827,49,57,97
1082812,56,66,112
1082795,62,76,129
1082776,70,87,148
1082755,79,100,169
1082732,88,114,192
1082705,99,129,219
1082675,111,147,249
1082642,125,167,282
1082605,140,189,319
1082563,157,214,361
1082516,176,241,408
1082463,198,273,461
1082404,222,308,520
1082338,249,347,586
1082264,279,391,660
1082180,313,440,744
1082087,351,496,837
1081982,394,558,942
1081864,442,627,1060
1081733,495,705,1191
1081585,556,793,1339
1081419,623,891,1505
1081233,699,1001,1691
1081025,783,1125,1899
1080792,878,1263,2132
1080530,985,1418,2394
1080237,1104,1592,2687
1079909,1238,1787,3015
1079540,1387,2006,3384
1079128,1555,2251,3796
1078666,1742,2525,4258
1078149,1952,2833,4775
1077569,2187,3178,5355
1076921,2449,3564,6003
1076195,2743,3996,6729
1075382,3071,4480,7542
