# S,I,R,Nw
7075171,9,0,0
7075167,11,1,3
7075164,12,3,6
7075160,14,6,10
7075156,16,8,14
7075151,18,11,19
7075145,20,14,25
7075138,23,18,32
7075131,26,22,39
7075123,30,27,47
7075114,33,32,56
7075103,38,38,67
7075092,43,45,78
7075078,49,53,92
7075063,55,61,107
7075046,62,71,124
7075027,70,82,143
7075005,80,95,165
7074980,90,109,190
7074953,102,125,217
7074921,115,143,249
7074886,130,164,284
7074845,147,187,325
7074800,166,213,370
7074749,188,243,421
7074691,212,276,479
7074626,240,314,544
7074552,271,357,618
7074468,307,405,702
7074374,347,459,796
7074267,392,521,903
7074146,443,590,1024
7074010,500,669,1160
7073856,565,758,1314
7073682,639,858,1488
7073486,722,972,1684
7073264,816,1100,1906
7073013,922,1244,2157
7072730,1042,1408,2440
7072410,1177,1593,2760
7072048,1330,1801,3122
7071639,1503,2037,3531
7071178,1698,2304,3992
7070656,1918,2605,4514
7070067,2167,2945,5103
7069401,2449,3329,5769
7068650,2766,3763,6520
7067800,3125,4254,7370
7066841,3530,4808,8329
7065758,3988,5434,9412
7064534,4504,6141,10636
