# S,I,R,Nw
232944,0,0,0
232944,0,0,0
232944,0,0,0
232943,0,0,0
232943,0,0,0
232943,0,0,0
232943,0,0,1
232943,0,0,1
232942,1,1,1
232942,1,1,1
232942,1,1,2
232942,1,1,2
232941,1,1,2
232941,1,2,3
232941,1,2,3
232940,1,2,3
232940,1,2,4
232939,1,3,4
232939,2,3,5
232938,2,3,5
232938,2,4,6
232937,2,4,6
232937,2,5,7
232936,2,5,7
232935,3,6,8
232935,3,6,9
232934,3,7,10
232933,3,7,10
232932,4,8,11
232931,4,9,12
232930,4,9,13
232929,4,10,14
232928,5,11,16
232926,5,12,17
232925,5,13,18
232924,6,14,20
232922,6,15,21
232921,7,16,23
232919,7,17,25
232917,8,19,27
232915,8,20,29
232913,9,22,31
232910,10,23,33
232908,10,25,35
232905,11,27,38
232903,12,29,41
232900,13,31,44
232896,14,33,47
232893,15,36,50
232889,16,38,54
232885,17,41,58
232881,18,44,62
232877,19,47,66
232872,21,51,71
232867,22,54,76
232862,24,58,82
232856,25,62,88
232850,27,67,94
232843,29,72,100
232836,31,77,107
232828,33,82,115
232820,35,88,123
232812,38,94,132
