# S,I,R,Nw
559632,3,0,0
559631,3,0,0
559630,4,1,1
559629,4,2,2
559628,4,2,3
559627,4,3,4
559626,5,4,5
559625,5,5,6
559624,5,6,7
559623,5,7,9
559621,6,8,10
559620,6,9,11
559619,6,10,13
559617,7,11,14
559615,7,12,16
559614,7,13,17
559612,8,15,19
559610,8,16,21
559608,9,18,23
559606,9,19,25
559604,9,21,27
559602,10,22,29
559600,11,24,31
559597,11,26,34
559595,12,28,36
559592,12,30,39
559589,13,32,42
559586,14,35,45
559583,14,37,48
559580,15,40,51
559577,16,42,55
559573,17,45,58
559569,17,48,62
559565,18,51,66
559561,19,54,70
559557,20,58,75
559552,21,61,79
559547,22,65,84
559542,24,69,89
559537,25,73,94
559531,26,77,100
559525,27,82,106
559519,29,87,112
559513,30,92,119
559506,32,97,125
559499,33,102,133
559491,35,108,140
559483,37,114,148
559475,39,121,156
559466,41,127,165
559457,43,134,174
559448,45,142,184
559438,47,150,194
559427,50,158,204
559416,52,166,215
559404,55,175,227
559392,58,185,239
