# S,I,R,Nw
669667,4,0,0
669666,4,0,0
669666,4,1,1
669665,4,2,2
669664,4,3,3
669663,5,3,4
669661,5,4,5
669660,5,5,7
669659,5,6,8
669658,6,7,9
669657,6,8,10
669655,6,9,12
669654,6,10,13
669652,7,12,15
669651,7,13,16
669649,7,14,18
669647,8,15,20
669646,8,17,21
669644,9,18,23
669642,9,20,25
669640,9,21,27
669638,10,23,29
669635,10,25,32
669633,11,27,34
669631,11,29,36
669628,12,31,39
669625,12,33,41
669623,13,35,44
669620,13,37,47
669617,14,40,50
669614,15,42,53
669610,15,45,57
669607,16,47,60
669603,17,50,64
669600,18,53,67
669596,19,56,71
669592,19,60,75
669587,20,63,80
669583,21,66,84
669578,22,70,89
669573,23,74,94
669568,24,78,99
669563,25,82,104
669557,26,87,109
669552,28,91,115
669546,29,96,121
669539,30,101,128
669533,32,106,134
669526,33,112,141
669519,35,117,148
669511,36,123,156
669503,38,130,164
669495,39,136,172
669486,41,143,180
