# S,I,R,Nw
863974,7,0,0
863973,7,1,1
863971,7,2,2
863970,8,3,4
863968,8,5,5
863966,8,6,7
863965,8,8,9
863963,8,9,10
863961,9,10,12
863960,9,12,14
863958,9,14,16
863956,9,15,17
863954,9,17,19
863952,10,18,21
863950,10,20,23
863948,10,22,25
863946,10,24,27
863944,11,26,29
863942,11,27,32
863940,11,29,34
863938,12,31,36
863935,12,33,38
863933,12,36,41
863930,12,38,43
863928,13,40,46
863925,13,42,48
863923,13,44,51
863920,14,47,53
863917,14,49,56
863914,14,52,59
863912,15,54,62
863909,15,57,65
863906,16,59,68
863903,16,62,71
863899,16,65,74
863896,17,68,77
863893,17,71,81
863889,18,74,84
863886,18,77,88
863882,18,80,91
863879,19,83,95
863875,19,86,99
863871,20,90,102
863867,20,93,106
863863,21,97,110
863859,21,100,115
863855,22,104,119
863850,22,108,123
863846,23,111,128
863841,24,115,132
863837,24,120,137
863832,25,124,141
863827,25,128,146
863822,26,132,151
863817,27,137,156
863812,27,141,162
863806,28,146,167
